"Substituido","Mantido"
"Editora UFPE","EDUFPE"
"Ed. UNESP","Editora Unesp"
"Edufba","EDUFBA"
"Edições UFC","Editora UFC"
"Editora da UFF","EDUFF"
"PALHARES, Maria Cristina Palhares", "PALHARES, Maria Cristina"
"SANTOS, Cely Martins", "ALENCAR, Cely Martins Santos de"
"SEMIDAO, Rafael","SEMIDÃO, Rafael Aparecido Moron"
"OPRIME, Pedro","OPRIME, Pedro Carlos"
"ANTONIO, Deise Maria","SABBAG, Deise Maria Antônio"
"VELHO, Léa","VELHO, Lea Maria Leme Strini"
"SOUSA, Lucília Maria Abrahão","ROMÃO, Lucília Maria Sousa"
"FREITAS, Bruno César de","FERREIRA, Bruno Cesar de Freitas"
"FREITAS, Sandra Mônica Dias de","DIAS, Sandra Mônica de Freitas"
"GONZALEZ, José Antonio Moreiro","MOREIRO GONZALES, José Antonio"
"AGUIAR, A. O. E.","AGUIAR, Alexandre de Oliveira e"
"RODREIGUES, R.","ROFRIGUES, Rosely"
"Micheroni, Marcos Luiz","MUCHERONI, Marcos Luiz"
"SILVA, Armando Manuel Barreiros Malheiro da","SILVA, Armando Malheiro da"
"CHAVES, Elisabete C. J.","CHAVES, Elisabete Cecilia Januario"
"THAÍS DE BIASI","CUEVAS, Thaís de Biasi"
"NUNES, Roberto","PEREIRA, Roberto Nunes"
"TAVARES, A. M.","BARBOSA, Ana Amália Tavares Bastos"
"BARBOSA, Ana Mae","BARBOSA, Ana Amália Tavares Bastos"
"AUGUSTO, Marcia","AUGUSTO, Márcia Silva"
"FERREIRA, Mariana S. B.","FERREIRA, Marina de Souza Barbosa"
"ISHIKAWA, Tomaz","ISHIKAWA, Tomaz Toshimi"
"SIQUEIRA, Sônia","SIQUEIRA, Sônia Maria Gonçalves"
"PEREIRA, Antônio Pereira","PEREIRA, César Antônio"
"Colóquio Internacional da rede MUSSI","Colóquio Internacional da Rede Mussi"
"Simposio de RITerm","Simposio Iberoamericano de Terminologia - RITerm"
"Congreso Latino-Iberoamericano de géstion tecnologica - ALTEC","Congresso da Associação Latino-Iberoamericana de Gestão de Tecnologia (ALTEC)"
"Acervo","Acervo (Rio de Janeiro)"
"Ágora","Agora (Florianopolis)"
"Archeion","Archeidon Online"
"Biblos","Biblos (Rio Grande)"
"Biblos: Revista do Instituto de Ciências Humanas e da Informação","Biblos (Rio Grande)"
"Ciência da Informação (Impresso)","Ciência da Informação (Online)"
"Em Questão (UFRGS. Impresso)","Em Questão"
"Gestão & Produção","Gestão & Produção (UFSCAR. Impresso)"
"Informação & Informação (UEL. Online)","Informação & Informação (UEL)"
"Informação & Sociedade (UFPB. Online)","Informação & Sociedade (UFPB)"
"Informação & Tecnologia","Informação & Tecnologia (Itec)"
"INTERSIENTia","InterScientia"
"Nona Arte - Revista Brasileira de Pesquisa em HQ","Nona Arte: Revista Brasileira de Pesquisas em Histórias em Quadrinhos (Mantém esse)"
"Produção (São Paulo. Impresso)","Produção (São Paulo. On-Line)"
"REBECIN","Revista Brasileira de Educação em Ciência da informação"
"Rebecin","Revista Brasileira de Educação em Ciência da informação"
"Revista Brasileira de Biblioteconomia e Documentação","RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online)"
"RESGATE - Revista Interdisciplinar de Cultura","Resgate (UNICAMP)"
"Revista de educação cultura e comunicação do Curso de Comunicação Social das Faculdades Integradas Teresa D'Ávila - Fatea","Revista de educação cultura e comunicação - Fatea"
"Revista do GEL (Araraquara)","Revista do GEL"
"Scire","Scire (Zaragoza)"
"Scire: representación y organización del conocimiento","Scire (Zaragoza)"
"Revista Letras","Revista Letras (UFSM)"
"Scientometrics (Print)","Scientometrics (Online)"
"Alínea","Editora Alínea"
"Alínea Editora","Editora Alínea"
"Editora Alinea","Editora Alínea"
"Editora UFPb","Editora da UFPB"
"Editora UFPB","Editora da UFPB"
"Lighthouse Editora","Lighthouse"
"Pontes","Pontes Editores"
"Thasaurus","Thesaurus"
"Thesauros","Thesaurus"
"UNAM, Centro Universitario de Investigaciones Bibliotecológicas","UNAM"
"GRAFIST-Gráfica&Editora Santa Teresa","Gráfica e Editora Santa Teresa"
"Workshop de Pesquisa em Informação e Mediação","Encontro de Pesquisa em Informação e Mediação"
