autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"CALDAS, Rosângela Formentini  ","CARLOS, Gisnai da Silva",,,,,,,,,,,,Revista EDICIC,2011
"CALDAS, Rosângela Formentini","MACHADO, Larissa de Souza",,,,,,,,,,,,Revista Brasileira de Educação em Ciência da informação,2014
"CALDAS, Rosângela Formentini","RASTELI, Alessandro",,,,,,,,,,,,Do Outro Lado da Informação,2015
"CALDAS, Rosângela Formentini","RONCATO, Carolina Izidoro",,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2012
"CALDAS, Rosângela Formentini",,,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2011
"CALDAS, Rosângela Formentini",,,,,,,,,,,,,Journal of Organizational Knowledge Management,2012
"CARRASCO, Laís Barbudo","THALLER, Manfred","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,Liinc em Revista,2015
"CASARIN, Helen de Castro Silva","CONEGLIAN, André Luís Onório","SANTOS, Amanda Sertori","OLIVEIRA, Etiene Siqueira de",,,,,,,,,,Ensino em Re-Vista (Online),2013
"CASARIN, Helen de Castro Silva","LIMA, Lidyane","PEREIRA, Marlei Solange Vicentini",,,,,,,,,,,Revista Ciência em Extensão,2011
"CASARIN, Helen de Castro Silva","OLIVEIRA, Etiene Siqueira de",,,,,,,,,,,,Encontros Bibli,2012
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Knowledge Organization,2014
"CASTANHA, Renata Cristina Gutierres  ","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Journal of Scientometric Research,2013
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Em Questão,2015
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Em Questão,2012
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"CAVATTI SOBRINHO, Heliomar","MORAES, João Batista Ernesto de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Scire (Zaragoza),2012
"CERIGATTO, Mariana Pícaro","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2015
"CERIGATTO, Mariana Pícaro","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Biblioteca Escolar em Revista,2015
"CRIVELLI, Renato","BIZELLO, Maria Leandra",,,,,,,,,,,,Fuentes - Revista de la Biblioteca y Archivo Histórico de la Asamblea Legislativa Plurinacional,2012
"CRIVELLI, Renato  ","BIZELLO, Maria Leandra",,,,,,,,,,,,Ibersid (Zaragoza),2012
"CUSIN, Cesar Augusto","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2013
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2013
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2013
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2012
"DAL´EVEDOVE, Paula Regina","NEVES, Dulce Amélia de Brito","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2014
"DAL´EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes","BOCCATO, Vera Regina Casari",,,,,,,,,,Scire (Zaragoza),2013
"DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Scire (Zaragoza),2015
"DANUELLO, Jane Coelho","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Em Questão,2012
"DIAS, Guilherme Ataíde","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2012
"DIAS, Guilherme Ataíde","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2011
"ESCALONA, Maria Isabel","GUERRERO, Antonio Pulgarin","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,Brazilian Journal of Information Science,2012
"FARIAS, Sílvia Maria de Carvalho","TEIXEIRA, Olga Lúcia de Carvalho","MOREIRA, Walter","OLIVEIRA, Márcia Aparecida Ferreira de","PEREIRA, Maria Odete",,,,,,,,,Revista da Escola de Enfermagem da USP (Impresso),2011
"FERNANDEZ-MOLINA, Juan Carlos","VIVES-GRACIA, Josep","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,Revista EDICIC,2011
"FERNEDA, Edberto","DIAS, Guilherme Ataíde",,,,,,,,,,,,InterScientia,2013
