autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"NAKANO, Natalia","JORENTE, Maria José Vicentini",,,,,,,,,,,,Em Questão,2013
"NAKANO, Natalia","JORENTE, Maria José Vicentini","SANTAREM SEGUNDO, Jose Eduardo","SILVA, Talita Cristina da",,,,,,,,,,Brazilian Journal of Information Science,2015
"NASCIMENTO, Natália Marinho do","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista Ibero-Americana de Ciência da Informação,2013
"NHACUONGUE, Januário Albino","FERNEDA, Edberto",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2012
"NHACUONGUE, Januário Albino","FERNEDA, Edberto",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2015
"NICOLINO, Maria Elisa Valentim Pickler  ","FERNEDA, Edberto",,,,,,,,,,,,Informação & Tecnologia (Itec),2914
"OCHOLLA, Dennis","OCHOLLA, Lyudmila","OLSON, Hope A.","GUIMARÃES, José Augusto Chave",,,,,,,,,,"African Journal of Library, Archives and Information Science",2015
"OLIVEIRA, Ely Francina Tannuri de","GARCIA, Cristiane Luiza Salazar",,,,,,,,,,,,Revista EDICIC,2011
"OLIVEIRA, Ely Francina Tannuri de","GARCIA, Cristiane Luiza Salazar",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2011
"OLIVEIRA, Ely Francina Tannuri de","GARCIA, Cristiane Luiza Salazar",,,,,,,,,,,,Iris (Grenoble),2013
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2011
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Em Questão,2012
"OLIVEIRA, Henry Poncio Cruz de","PINTO, Virginia Bentes","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,Revista EDICIC,2011
"OSÓRIO, Hevelyn de Paula","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,,Revista EDICIC,2011
"PEREIRA, Rodrigo","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Revista ACB (Florianópolis),2012
"PINHO, Fabio Assis","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Knowledge Organization,2012
"RAMALHO, Rogério Aparecido Sá","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Anales de Documentación (Internet),2011
"REDIGOLO, Franciele Marques","ALMEIDA, Carlos Cândido",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2012
"REDÍGOLO, Franciele Marques","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Informação & Informação (UEL. Online),2015
"REDÍGOLO, Franciele Marques","TARTAROTTI, Roberta Cristina Dal'Evedove","FUJITA, Mariângela Spotti Lopes","BOCCATO, Vera Regina Casari",,,,,,,,,,Scire (Zaragoza),2012
"REGO, Laura Maria do","SILVA, Andrieli Pachu da","MARTÍNEZ-ÁVILA, Daniel","TOGNOLI, Natália Bolfarini",,,,,,,,,,Scire (Zaragoza),2014
"RODRIGUES, Fernando de Assis","FERNEDA, Edberto","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2015
"RODRIGUEZ, Sonia Maria Troitiño","CAVALHEIRO, Marcos Ulisses",,,,,,,,,,,,Archeidon Online,2013
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Revista de História (Rio de Janeiro),2013
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Revista de História (Rio de Janeiro),2014
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Ibersid (Zaragoza),2012
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Scire (Zaragoza),2011
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Revista de História (Rio de Janeiro),2015
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,Revista dos Tribunais (São Paulo. Impresso),2012
"ROSAS, Fábio Sampaio","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Encontros Bibli,2015
"ROSAS, Fábio Sampaio","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Em Questão,2014
"RUBI, Milena Polsineli","FUJITA, Mariângela Spotti Lopes","BOCCATTO, Vera Regina Casari",,,,,,,,,,,Scire (Zaragoza),2012
"SALES, Rodrigo de","GUIMARÃES, José Augusto Chaves","OLIVEIRA, Ely Francina Tannuri de","BUFREM, Leilah Santiago",,,,,,,,,,Encontros Bibli,2011
"SALES, Rodrigo de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Scire (Zaragoza),2014
"SANTAREM SEGUNDO, Jose Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"SANTAREM SEGUNDO, Jose Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Liinc em Revista,2011
"SANTOS, Amanda Sertori","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Revista EDICIC,2011
"SANTOS, Camila Araújo dos","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"SANTOS, Cassia Dias","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2013
"SANTOS, Cassia Dias","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Gestão & Conhecimento,2014
"SANTOS, Juliana Cardoso dos","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Informação@Profissões,2015
"SANTOS, Luciana Beatriz Piovezan dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Em Questão,2015
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","LIMA, Fábio Rogério Batista",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,,,,Ciência da Informação (Online),2013
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SIMIONATO, Ana Carolina","ARAKAKI, Felipe Augusto",,,,,,,,,,,Informação & Informação (UEL. Online),2014
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","ZINS, Chaim",,,,,,,,,,,,Revista EDICIC,2011
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2013
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2011
"SANTOS, Vanessa Lima dos","ALMEIDA, Daniela Pereira dos Reis de","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,Biblios (Lima),2011
"SATIJA, Mohinder Partap","MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,Journal of Information Science Theory and Practice,2015
"SÍGOLO, Brianda de Oliveira Ordonho","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Revista EDICIC,2011
"SILVA, Andrieli Pachu da","GUIMARÃES, José Augusto Chaves","TOGNOLI, Natália Bolfarini",,,,,,,,,,,Knowledge Organization,2015
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Brazilian Journal of Information Science,2013
"SILVA, Elaine da da","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Brazilian Journal of Information Science,2013
"SILVA, Luiz Antônio Santana da  ","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Archeion,2014
"SILVA, Luiz Antônio Santana da","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Ibersid (Zaragoza),2012
"SILVA, Renata Eleuterio da","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","FERNEDA, Edberto",,,,,,,,,,,Informação & Informação (UEL. Online),2013
"SILVA, Renata Eleuterio da","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2012
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Anales de Documentación (Internet),2013
"SORDI, José Osvaldo de  ","MEIRELES, Manuel","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,BAR. Brazilian Administration Review,2012
"SOUSA, Brisa Pozzi de","ALMEIDA, Carlos Cândido",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2012
"SOUSA, Brisa Pozzi de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2014
"SOUSA, Brisa Pozzi de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Revista ACB (Florianópolis),2013
"SOUSA, Brisa Pozzi de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Revista ACB (Florianópolis),2012
"TARTAROTTI, Roberta Cristina Dal'Evedove","DAL´EVEDOVE, Paula Regina","BOCCATTO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,Scire (Zaragoza),2013
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Revista Ciências Administrativas (UNIFOR),2011
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Informação & Informação (UEL. Online),2012
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2015
"TOGNOLI, Natália Bolfarini","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Ciência da Informação (Online),2015
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Ágora,2012
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Brazilian Journal of Information Science,2014
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Informação Arquivística,2012
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Scire (Zaragoza),2015
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Revista Ibero-Americana de Ciência da Informação,2012
"TOGNOLI, Natália Bolfarini",,,,,,,,,,,,,Scire (Zaragoza),2015
"TOGNOLI, Natália Bolfarini","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2011
"VALENTIM, Marta Lígia Pomim","JORGE, Carlos Francisco Bitencourt","CERETTA SORIA, María Gladys",,,,,,,,,,,Em Questão,2014
"VALENTIM, Marta Lígia Pomim","LOPES, Elaine Cristina",,,,,,,,,,,,Technology and Investment,2014
"VALENTIM, Marta Lígia Pomim","SOUZA, Juliete Susann Ferreira de",,,,,,,,,,,,Encontros Bibli,2013
"VALENTIM, Marta Lígia Pomim","TEIXEIRA, Thiciane Mary Carvalho",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2012
"VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,,Brazilian Journal of Information Science,2013
"VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,,Brazilian Journal of Information Science,2013
"VECHIATO, Fernando Luiz","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Informação & Informação (UEL. Online),2011
"VECHIATO, Fernando Luiz","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Informação & Tecnologia,2014
"VECHIATO, Fernando Luiz","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho","FLORES, Daniel",,,,,,,,,,,Ibersid (Zaragoza),2014
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Liinc em Revista,2013
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","ASSUMPCAO, Fabrício Silva","FERREIRA, Juliano Benedito","GRISOTO, Ana Paula","SILVA, Renata Eleuterio da","RODRIGUES, Vítor Silvério","MAY, Oberdan Luiz","BASTOS, Flávia Maria",,,,,,Ponto de Acesso (UFBA),2015
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","FERREIRA, Ana Maria Jensen Ferreira da Costa","CONEGLIAN, André Luís Onório","OLIVEIRA, Henry Poncio Cruz de",,,,,,,,,,INTERSIENTia,2015
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","LANZI, Lucirene Andréa Catini","FERNEDA, Edberto",,,,,,,,,,,Informação & Informação (UEL. Online),2014
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","VECHIATO, Fernando Luiz","LANZI, Lucirene Andréa Catini","FERREIRA, Ana Maria Jensen Ferreira da Costa","CASARIN, Helen de Castro Silva",,,,,,,,,Informação & Informação (UEL. Online),2013
"VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,,,AtoZ: novas práticas em informação e conhecimento,2014
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"ZINS, Chaim","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Journal of The American Society For Information Science and Technology (Online),2011
"ALVES, Ana Paula Menezes","CASARIN, Helen de Castro Silva","MOLINA, Juan Carlos Fernandez",,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"NASCIMENTO, Natália Marinho do","SANTOS, Juliana Cardoso do ","VALENTIM, Marta Lígia Pomim","MORO-CABERO, María Manuela",,,,,,,,,,Perspectivas em Gestão & Conhecimento,2016
"SANTOS, Derlei Alberto dos","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Ibersid (Zaragoza),2010
"MATA, Marta Leandro da","CASARIN, Helen de Castro Silva","MARZAL GARCÍA-QUISMONDO, Miguel Ángel",,,,,,,,,,,Anales de Documentación (Internet),2016
"PUPIM, Eliana Kátia","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Ibersid (Zaragoza),2010
"GASQUE, Kelley Cristine Gonçalves Dias ","CASARIN, Helen de Castro Silva",,,,,,,,,,,,Em Questão,2016
"COSTA, Eliandro dos Santos ","MADIO, Telma Campanha de Carvalho","PADRON, Dunia Llane",,,,,,,,,,,Revista Analisando em Ciência da Informação,2016
"CASARIN, Helen de Castro Silva ","MATTOS, Nayara Bernardo de","FERREIRA, Thaís Guedes",,,,,,,,,,,Brazilian Journal of Information Science,2016
"SILVA, Luiz Antonio Santana da ","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Páginas A & B. Arquivos & Bibliotecas,2016
"OMOTE, Sadao","PRADO, Paulo Sérgio Teixeira Do","CASARIN, Helen de Castro Silva",,,,,,,,,,,Brazilian Journal of Information Science,2010
"TEIXEIRA, Thiciane Mary Carvalho","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Gestão & Conhecimento,2016
"VIANA, Gilberto Fladimar Rodrigues","MADIO, Telma Campanha de Carvalho",,,,,,,,,,,,Ibersid (Zaragoza),2016
"NASCIMENTO, Natália Marinho do","SOUZA, Juliete Susann Ferreira de","VALENTIM, Marta Lígia Pomim","MORO-CABERO, María Manuela",,,,,,,,,,Perspectivas em Gestão & Conhecimento,2016
"CAVALCANTE, Luciane de Fátima Beckman","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Ibersid (Zaragoza),2010
"OTTONICAR, Selma Leticia Capinzaiki","VALENTIM, Marta Lígia Pomim","FERES, Glória Georges ",,,,,,,,,,,Revista Ibero-Americana de Ciência da Informação,2016
"PACHECO, Cíntia Gomes","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Ibersid (Zaragoza),2010
"JORGE, Carlos Francisco Bitencourt ","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2016
"LOPES, Elaine Cristina",,,,,,,,,,,,,Ibersid (Zaragoza),2010
"VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"CAVALCANTE, Luciane de Fátima Beckman","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,Biblios (Lima),2010
"MORAES, Cassia Regina Bassan de","WOIDA, Luana Maia","VALENTIM, Marta Lígia Pomim","ABREU, Andréia","SILVA, Deise Deolindo da",,,,,,,,,Brazilian Journal of Information Science,2016
"VALENTIM, Marta Lígia Pomim","LOUSADA, Mariana",,,,,,,,,,,,El Profesional de la Información,2010
"SANTOS NETO, João Arlindo dos","SANTOS, Juliana Cardoso dos ","TELES, Paulo Sérgio","VALENTIM, Marta Lígia Pomim",,,,,,,,,,Em Questão,2016
"MARTÍNEZ-ÁVILA, Daniel","BEAK, Jihee",,,,,,,,,,,,Knowledge Organization,2016
"KAHN, Karen","JORENTE, Maria José Vicentini",,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"ADLER, Melissa A.  ","TENNIS, Joseph T.","MARTÍNEZ-ÁVILA, Daniel","GUIMARÃES, José Augusto Chaves","MAI, Jens-Erik","OLESEN-BAGNEUX, Ole","SKOUVIG, Laura",,,,,,,Proceedings of the Association for Information Science and Technology,2016
"MOREIRA, Fábio Mosso","SANT'ANA, Ricardo Cesar Gonçalves ","JORENTE, Maria José Vicentini",,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2016
"MARTÍNEZ-ÁVILA, Daniel ",,,,,,,,,,,,,Boletín electrónico ABGRA,2016
"BATISTA, Lucinéia da Silva","RODRIGUES, Nandia Letícia Freitas","NAKANO, Natalia","JORENTE, Maria José Vicentini ",,,,,,,,,,Brazilian Journal of Information Science,2016
"MARTÍNEZ-ÁVILA, Daniel",,,,,,,,,,,,,Knowledge Organization,2016
"PANDO, Daniel Abraão","ALMEIDA, Carlos Cândido",,,,,,,,,,,,Knowledge Organization,2016
"ALMEIDA, Carlos Cândido de","FARIAS, Mona Cleide de Quirino da Silva",,,,,,,,,,,,Scire (Zaragoza),2016
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2016
"ALMEIDA, Carlos Cândido de",,,,,,,,,,,,,Scire (Zaragoza),2010
"SILVA, Talita Cristina da","PULGARIN, Aura Marcela Mesa","SILVA, Mateus Henrique da","JORENTE, Maria José Vicentini ",,,,,,,,,,Brazilian Journal of Information Science,2016
"JORENTE, Maria José Vicentini","NAKANO, Natalia","SILVA, Talita Cristina da","BATISTA, Lucinéia da Silva",,,,,,,,,,Liinc em Revista,2016
"SANTAREM, Vinicius","VITORIANO, Marcia Cristina de Carvalho Pazin",,,,,,,,,,,,Perspectivas em Gestão & Conhecimento,2016
"NAKANO, Natalia ","JORENTE, Maria José Vicentini","GALINDO, Marcos ",,,,,,,,,,,Emerald Studies in Media and Communication,2016
"OTTONICAR, Selma Leticia Capinzaiki","CONDUTA, Luis Fernando","VITORIANO, Marcia Cristina de Carvalho Pazin ",,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"ROA-MARTINEZ, Sandra Milena ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","JORENTE, Maria José Vicentini",,,,,,,,,,,Revista General de Información y Documentación,2016
"HILÁRIO, Carla Mara","TOGNOLI, Natália Bolfarini","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"JORENTE, Maria José Vicentin","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2010
"MIGUEL, Sandra ","GRÁCIO, Maria Cláudia Cabrini","OLIVEIRA, Ely Francina Tannuri de",,,,,,,,,,,Publications,2016
"GRÁCIO, Maria Cláudia Cabrini ",,,,,,,,,,,,,Encontros Bibli,2016
"CASTANHA, Renata Cristina Gutierres","GRÁCIO, Maria Cláudia Cabrini",,,,,,,,,,,,Brazilian Journal of Information Science,2016
"OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini","SILVA, Ana Cláudia Cardoso da",,,,,,,,,,,Scire (Zaragoza),2010
"FEITOSA, Hércules de Araújo ","GRÁCIO, Maria Cláudia Cabrini","NASCIMENTO, Mauri Cunha Do",,,,,,,,,,,Principia (Florianópolis. Online),2010
"FARIAS, Mona Cleide de Quirino da Silva","BIZELLO, Maria Leandra",,,,,,,,,,,,Scire (Zaragoza),2016
"RODRIGUEZ, Sonia Maria Troitiño",,,,,,,,,,,,,RESGATE - Revista Interdisciplinar de Cultura,2016
"BIZELLO, Maria Leandra",,,,,,,,,,,,,Ibersid (Zaragoza),2016
"RODRIGUEZ, Sonia Maria Troitiño","MADIO, Telma Campanha de Carvalho","TONELLO, Izângela Maria Sansoni",,,,,,,,,,,Ibersid (Zaragoza),2016
"RODRIGUEZ, Sonia Maria Troitiño","FONSECA, Gabrieli Aparecida da",,,,,,,,,,,,Ibersid (Zaragoza),2016
"BIZELLO, Maria Leandra",,,,,,,,,,,,,Primeiros Escritos,2010
"ANTONIO, Deise Maria","MORAES, João Batista Ernesto de",,,,,,,,,,,,Scire (Zaragoza),2010
"BIZELLO, Maria Leandra","FERREIRA, Letícia Elaine",,,,,,,,,,,,Ibersid (Zaragoza),2010
"BARROS, Thiago Henrique Bragato","MORAES, João Batista Ernesto de",,,,,,,,,,,,Scire (Zaragoza),2010
"CAPRIOLI, Mariana Silva ","MORAES, João Batista Ernesto de","LIMA, Larissa de Mello",,,,,,,,,,,Brazilian Journal of Information Science,2016
"ALVES, Roberta Caroline Vesu ","MORAES, João Batista Ernesto de",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"MORAES, João Batista Ernesto de","LIMA, Larissa de Mello","CAPRIOLI, Mariana Silva ",,,,,,,,,,,Scire (Zaragoza),2016
"SALES, Rodrigo de ","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"TOGNOLLI, Natália Bolfarini ","GUIMARÃES, José Augusto Chaves","CÂNDIDO, Gilberto Gomes",,,,,,,,,,,AIDAinformazioni: revista semestrale di sicenza della´informazione,2016
"GUIMARÃES, José Augusto Chaves ","PINHO, Fabio Assis","MILANI, Suellen Oliveira",,,,,,,,,,,Knowledge Organization,2016
"EVANGELISTA, Isadora Victorino","SIMÕES, Maria Graça de Melo","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,Páginas A & B. Arquivos & Bibliotecas,2016
"FERNANDEZ-MOLINA, Juan Carlos ","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Information Development,2010
"GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,,Scire (Zaragoza),2016
"SALES, Rodrigo de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,,Scire (Zaragoza),2010
"GUIMARÃES, José Augusto Chaves","SANTOS, João Carlos Gardini",,,,,,,,,,,,Brazilian Journal of Information Science,2016
"GUIMARÃES, José Augusto Chaves","SALES, Rodrigo de",,,,,,,,,,,,Datagramazero (Rio de Janeiro),2010
"BARITÉ, Mário ","MORAES, João Batista Ernesto de","GUIMARÃES, José Augusto Chaves",,,,,,,,,,,Transinformação,2010
"GUIM, Vera Lucia Ribeiro","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Brazilian Journal of Information Science,2016
"GUIMARÃES, José Augusto Chaves","FERNANDEZ-MOLINA, Juan Carlos",,,,,,,,,,,,Nuovi Annali della Scuola Speciale per Archivisti e Bibliotecari,2010
"MOREIRA, Walter","FUJITA, Mariângela Spotti Lopes","SANTOS, Luciana Beatriz Piovezan dos",,,,,,,,,,,Scire (Zaragoza),2016
"FUJITA, Mariângela Spotti Lopes","SANTOS, Luciana Beatriz Piovezan dos",,,,,,,,,,,,Transinformação,2016
"FUJITA, Mariângela Spotti Lopes","SANTOS, Luciana Beatriz Piovezan dos",,,,,,,,,,,,Scire (Zaragoza),2016
"ALVES, Roberta Caroline Vesú","MORAES, João Batista Ernesto de","FUJITA, Mariângela Spotti Lopes","NEVES, Dulce Amélia de Brito",,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,Revista Conhecimento em Ação,2016
"GUIM, Vera Lucia Ribeiro","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Biblioteca Escolar em Revista,2016
"TARTAROTTI, Roberta Cristina Dal'Evedove ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Em Questão,2016
"TERRA, Ana Lúcia Silva ","FUJITA, Mariângela Spotti Lopes","AGUSTIN LACRUZ, María del Carmen",,,,,,,,,,,Knowledge Organization,2016
"ALONSO ARROYO, Adolfo ","FUJITA, Mariângela Spotti Lopes","GIL LEIVA, Isidoro","PANDIELLA, Andrés",,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"RUBI, Milena Polsineli ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2010
"MARTINHO, Noemi Oliveira","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Scire (Zaragoza),2010
"SILVA, Irisneide Oliveira Souza ","DAL´EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Scire (Zaragoza),2010
"FUJITA, Mariângela Spotti Lopes","DAL´EVEDOVE, Paula Regina",,,,,,,,,,,,Scire (Zaragoza),2010
"BOCCATO, Vera Regina Casari","RUBI, Milena Polsineli ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Scire (Zaragoza),2010
"REIS, Daniela Marjorie dos","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Scire (Zaragoza),2010
"FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,Encontros Bibli,2010
"BISSET, Edgar","SIRIANI, Allan Lincoln Rodrigues","VIDOTTI, Silvana Aparecida Borsetti Gregorio","CARVALHO, Angela Maria Grossi de",,,,,,,,,,Transinformação,2016
"BOCCATO, Vera Regina Casar","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2010
"FUJITA, Mariângela Spotti Lopes","RUBI, Milena Polsineli ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Brazilian Journal of Information Science,2010
"VIDOTTI, Silvana Aparecida Borsetti Gregorio","BASTOS, Flávia Maria","GRISOTO, Ana Paula","ARAKAKI, Felipe Augusto","FERREIRA, Juliano Benedito",,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2016
"RODAS, Cecílio Merlotti ","VIDOTTI, Silvana Aparecida Borsetti Gregorio","MONTEIRO, Silvana Drumond",,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"OLIVEIRA, Henry Poncio Cruz de ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Informação & Sociedade (UFPB. Online),2016
"SHINTAKU, Milton ","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Biblos (Rio Grande),2016
"RODAS, Cecílio Merlotti","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Brazilian Journal of Information Science,2016
"FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio",,,,,,,,,,,,Informação@Profissões,2016
"ARROYO, Adolfo Alonso ","OLIVEIRA, Ely Francina Tannuri de","GRÁCIO, Maria Cláudia Cabrini","PANDIELLA, Andrés","BENAVENT, Rafael Aleixandre",,,,,,,,,Investigación Bibliotecológica,2016
