autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"ROMÃO, Lucília Maria Sousa",,,,,,,,Livro Zero: Revista de Psicanálise,2016
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,Fragmentum (UFSM),2016
"ROMÃO, Lucília Maria Sousa",,,,,,,,Fragmentum (UFSM),2016
"LAMPOGLIA, Francis ","ROMÃO, Lucília Maria Sousa",,,,,,,Galáxia (PUCSP),2010
"LAMPOGLIA, Francis ","SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,,Revista do GEL (Araraquara),2010
"MOREIRA, Vivian Lemes  ","SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,,Hipertextus revista digital (UFPE),2010
"MOREIRA, Vivian Lemes  ","ROMÃO, Lucília Maria Sousa",,,,,,,E-Compós (Brasília),2010
"FERRAREZI, Ludmila ","ROMÃO, Lucília Maria Sousa",,,,,,,Revista ACB (Florianópolis),2010
"ROMÃO, Lucília Maria Sousa",,,,,,,,Espéculo (Madrid),2010
"LAMPOGLIA, Francis  ","ROMÃO, Lucília Maria Sousa",,,,,,,Revista Iberoamericana de Discurso y Sociedad,2010
"SANTOS, Jean Carlos Ferreira dos","ROMÃO, Lucília Maria Sousa",,,,,,,Linguasagem (São Paulo),2010
"MOREIRA, Vivian Lemes  ","ROMÃO, Lucília Maria Sousa",,,,,,,Verso e Reverso (UNISINOS. Online),2010
"BASTOS, Gustavo Grandini ","ROMÃO, Lucília Maria Sousa",,,,,,,Biblionline (João Pessoa),2010
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"LAMPOGLIA, Francis","MIOTELLO, Valdemir","ROMÃO, Lucília Maria Sousa",,,,,,Versão Beta (UFSCar),2010
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,Versão Beta (UFSCar),2010
"ALVES, Adenilson  ","ROMÃO, Lucília Maria Sousa",,,,,,,Revista CRB-8 Digital,2010
"PACÍFICO, Soraya Maria Romano ","ROMÃO, Lucília Maria Sousa",,,,,,,Icarahy,2010
"ROMÃO, Lucília Maria Sousa ","SOUZA, Flávio Cezar de","YADO, Thaís Harumi Manfré",,,,,,Achegas.net,2010
"ROMÃO, Lucília Maria Sousa","GALLI, Fernanda Correa Silveira","PATTI, Ane Ribeiro",,,,,,Desenredo (PPGL/UPF),2010
"LAMPOGLIA, Francis","SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa",,,,,,Linguagens e Diálogos,2010
"OLIVEIRA, Émerson Quirino de ","SILVA, Jonathan Raphael Bertassi da","ROMÃO, Lucília Maria Sousa","LAMPOGLIA, Francis",,,,,Revista Letras,2010
"BASTOS, Gustavo Grandini ","FAUSTINO, Gabriela Gimenez","ROMÃO, Lucília Maria Sousa"," ALMEIDA, Ludmila Tatiane Rodrigues de",,,,,Ponto de Acesso (UFBA),2010
"COELHO, Vânia Lúcia ","SILVA, Márcia Regina da",,,,,,,Biblionline (João Pessoa),2016
"ALMEIDA, Marco Antônio de",,,,,,,,Ciência da Informação (Online),2016
"ALMEIDA, Marco Antônio de",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2016
"ALMEIDA, Marco Antônio de ",,,,,,,,Revista do Centro de Pesquisa e Formação do SESC,2016
"ALMEIDA, Marco Antônio de",,,,,,,,Informação em Pauta,2016
"ALMEIDA, Marco Antônio de",,,,,,,,Em Questão,2010
"ALMEIDA, Marco Antônio de",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"ALMEIDA, Marco Antônio de",,,,,,,,Virus,2010
"ESPÍRITO SANTO, Silvia Maria do",,,,,,,,Revista Museu,2010
"MOSTAFA, Solange Puntel","SABBAG, Deise Maria Antônio",,,,,,,Scire (Zaragoza),2016
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,,Datagramazero (Rio de Janeiro),2010
"MOSTAFA, Solange Puntel",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"MOSTAFA, Solange Puntel",,,,,,,,Informação & Sociedade (UFPB),2010
"MOSTAFA, Solange Puntel",,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"AFEBENDE, Godwin B. ","MA,  Leo F. H.","MUBARAK, Mohamed","TORRENS, Adelaida Ferrer","FERREIRA, Sueli Mara Soares Pinto",BEASLEY. Gerald ,"CHU, Clara M.","FORD, Barbara J.",C&RL News,2016
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,,Observatorio (OBS*),2010
