autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"RODRIGUES, Bruno Cesar","CRIPPA, Giulia",,,,,,,Perspectivas em Ciência da Informação,2011
"REBESCO, Vanessa Lúcia de Assis","CRIPPA, Giulia",,,,,,,Museologia e Patrimônio,2013
"PRANDI, Maria Beatriz Ribeiro","CRIPPA, Giulia",,,,,,,Museologia e Patrimônio,2015
"POSSIDÔNIO, Juliana Aparecida","PACÍFICO, Soraya Maria Romano","ROMÃO, Lucília Maria Sousa",,,,,,Revista Letras,2015
"PATTI, Ane Ribeiro","ROMÃO, Lucília Maria Sousa",,,,,,,Estudos Linguísticos,2015
"PATTI, Ane Ribeiro  ","ROMÃO, Lucília Maria Sousa",,,,,,,Psicologia Argumento (PUCPR. Impresso),2011
"PACÍFICO, Soraya Maria Romano","ROMÃO, Lucília Maria Sousa",,,,,,,Linguasagem (São Paulo),2011
"NOVA CRUZ, Denise Viuniski da","MOSTAFA, Solange Puntel",,,,,,,PerCursos (Florianópolis. Online),2014
"NAKANO, Nátalia","SILVA, Talita Cristina da","JORENTE, Maria José Vicentini","SANTAREM SEGUNDO, José Eduardo",,,,,Brazilian Journal of Information Science,2015
"NAKAMURA, Mariany Toriyama","CRIPPA, Giulia",,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2014
"NAKAMURA, Mariany Toriyama","CRIPPA, Giulia",,,,,,,Discursos Fotográficos (Online),2011
"MUGNAINI, Rogério","DIGIAMPIETRI, Luciano Antonio","OLIVEIRA, Laucivaldo Cardoso de","FERREIRA, Sueli Mara Soares Pinto",,,,,Em Questão,2012
"MOSTAFA, Solange Puntel",,,,,,,,Contracampo (UFF),2015
"MOSTAFA, Solange Puntel","ROMÃO, Lucília Maria Sousa",,,,,,,Informação & Sociedade (UFPB),2013
"MOSTAFA, Solange Puntel","NOVA CRUZ, Denise Viuniski da","AMORIM, Igor Soares",,,,,,Liinc em Revista,2015
"MOSTAFA, Solange Puntel","NOVA CRUZ, Denise Viuniski da",,,,,,,Datagramazero (Rio de Janeiro),2011
"MOSTAFA, Solange Puntel","NOVA CRUZ, Denise Viuniski da","BENEVENUTTO, Felipe Etelvino",,,,,,Datagramazero (Rio de Janeiro),2013
"MOSTAFA, Solange Puntel","AMORIM, Igor Soares","ROMÃO, Lucília Maria Sousa",,,,,,Logeion: Filosofia da informação,2014
"MOREIRA, Vivian Lemes","ROMÃO, Lucília Maria Sousa",,,,,,,Rua (UNICAMP),2011
"MOREIRA, Vivian Lemes","ROMÃO, Lucília Maria Sousa",,,,,,,Psicologia em Revista (Impressa),2012
"MOREIRA, Vivian Lemes","BASTOS, Gustavo Grandini","ROMÃO, Lucília Maria Sousa",,,,,,Calisocópio,2012
"MOREIRA, Fábio Mosso","SANT'ANA, Ricardo César Gonçalves","SANTAREM SEGUNDO, José Eduardo","VIDOTTI, Silvana Aparecida Borsetti Gregório",,,,,Em Questão,2015
"MORAES, Marielle Barros de","ALMEIDA, Marco Antônio de",,,,,,,Informação & Informação (UEL),2013
"MILAGRE, José Antônio","SANTAREM SEGUNDO, José Eduardo",,,,,,,Encontros Bibli,2015
"MENDONCA, Joice Rodrigues","GARCIA, Leonardo Guimarães",,,,,,,Revista Inteligência Competitiva,2015
"MARTINS, Dalton Lopes","FERREIRA, Sueli Mara Soares Pinto",,,,,,,Revista Ibero-Americana de Ciência da Informação,2014
"MARTINS, Dalton Lopes","FERREIRA, Sueli Mara Soares Pinto",,,,,,,Liinc em Revista,2012
"MARTINS, Dalton Lopes","FERREIRA, Sueli Mara Soares Pinto",,,,,,,Encontros Bibli,2012
"MARTINEZ, Maria Laura","FERREIRA, Sueli Mara Soares Pinto","GALINDO, Marcos",,,,,,RBPG. Revista Brasileira de Pós-Graduação,2011
"MARSULO, Thabyta Giraldelli","CARVALHO, Ângela Maria Grossi de","SANTAREM SEGUNDO, José Eduardo",,,,,,Prisma.com,2015
"MARCUSSI, Elaine","ESPÍRITO SANTO, Sílvia Maria do",,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"MARCOLINO, Maria Antonieta Ribeiro","CASTRO FILHO, Cláudio Marcondes de",,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação,2014
"MARCOLINO, Maria Antonieta Ribeiro","CASTRO FILHO, Cláudio Marcondes de",,,,,,,Biblos,2014
"LOPES, Elaine Cristina","SANTAREM SEGUNDO, José Eduardo","VALENTIM, Marta Lígia Pomim",,,,,,European Journal of Academic Research,2014
"LAMPOGLIA, Francis","CASTRO FILHO, Cláudio Marcondes de","ROMÃO, Lucília Maria Sousa","PACIFICO, Soraya Maria Romano",,,,,Via Litterae,2011
"LAMPOGLIA, Francis","ROMÃO, Lucília Maria Sousa",,,,,,,Cadernos de Linguagem e Sociedade,2011
"LAMPOGLIA, Francis","MIOTELLO, Valdemir","ROMÃO, Lucília Maria Sousa",,,,,,Versão Beta (UFSCar),2011
"LAMPOGLIA, Francis","MIOTELLO, Valdemir","ROMÃO, Lucília Maria Sousa",,,,,,Linguagem em (Dis)curso (Impresso),2011
