autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,,Scire: representación y organización del conocimiento,2015
"DAL' EVEDOVE, Paula Regina ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2013
"DAL' EVEDOVE, Paula Regina  ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,,Datagramazero (Rio de Janeiro),2013
"DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Impresso),2012
"DAL' EVEDOVE, Paula Regina","NEVES, Dulce Amélia de Brito","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Impresso),2014
"DURAN, Maria Raquel Cruz ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Brasileira de Ciência, Tecnologia e Sociedade",2011
"EDER, Samuel ","SCHNETZLER, Juliana Pereira","CONFORTO, Edivandro Carlos","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,Produto & Produção (Impresso),2012
"EDER, Samuel  ","CONFORTO, Edivandro Carlos","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,Produção (São Paulo. Impresso),2014
"FARIA, Leandro Innocentini Lopes de ","BESSI, Nayara Cristini","MILANEZ, Douglas Henrique",,,,,,,,,,,,,,,,,,,,,,,,,,Cadernos de Ciência & Tecnologia,2014
"FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,,,,,,,,,,,,,,,,,Verbo,2014
"FOGGI, Rafael Antonio Di","FURNIVAL, Ariadne Chloë Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2013
"FORMENTON, Danilo","GRACIOSO, Luciana de Souza","CASTRO, Fabiano Ferreira de",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2015
"FURNIVAL, Ariadne Chloë Mary","ALMEIDA, Bianca Miranda de","SILVA, Marco Donizete Paulino da",,,,,,,,,,,,,,,,,,,,,,,,,,Encontros Bibli,2015
"FURNIVAL, Ariadne Chloë Mary ","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,,REVISTA GEMInIS,2011
"FURNIVAL, Ariadne Chloë Mary","HUBBARD, Bill ",,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"FURNIVAL, Ariadne Chloë Mary","KRAUSS, Peter de Padua Krauss",,,,,,,,,,,,,,,,,,,,,,,,,,,Datagramazero (Rio de Janeiro),2011
"FURNIVAL, Ariadne Chloë Mary ","OPRIME, Pedro",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista de Economia e Administração (Impresso),2013
"FURNIVAL, Ariadne Chloë Mary ","OUCHI, Marcos Teruo","PINTO, Eusebio Luiz",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Interamericana de Bibliotecologia,2012
"GIGANTE, Luciara Cid ","FERRAZ, Maria Cristina Comunian","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Tecnologia e Sociedade (Online),2012
"GIGANTE, Luciara Cid  ","RIGOLIN, Camila Carneiro Dias","MARCELO, Júlia Fernandes",,,,,,,,,,,,,,,,,,,,,,,,,,AtoZ: novas práticas em informação e conhecimento,2012
"GONÇALVES, Taísa Liduenha","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Série-Estudos (UCDB),2014
"GRACIOSO, Luciana de Souza ","ZAFALON, Zaira Regina ","BOCCATO, Vera Regina Casari","GASPAR, Nádea Regina","FERRAZ, Maria Cristina Comunian","HOFFMANN, Wanda Aparecida Machado","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,Revista EDICIC,2011
"GRACIOSO, Luciana de Souza","FRANÇA, Maísa Coelho",,,,,,,,,,,,,,,,,,,,,,,,,,,Biblionline (João Pessoa),2013
"GRACIOSO, Luciana de Souza","PINTO, Lourival Pereira",,,,,,,,,,,,,,,,,,,,,,,,,,,Logeion: Filosofia da Informação,2015
"GRACIOSO, Luciana de Souza ",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Journal of Systemics, Cybernetics and Informatics",2012
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2012
"GUIMARÃES, Isac Pimentel  ","BULHÕES, Rodrigo de Souza","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,Quaestio: Revista de Estudos de Educação,2015
"GUIMARÃES, Vera Aparecida Lui   ","HAYASHI, Maria Cristina Piumbato Innocentini","BENZE, Benedito Galvão",,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Brasileira de Ciência, Tecnologia e Sociedade",2011
"GUIMARÃES, Vera Aparecida Lui ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Comunicologia (Brasília),2014
"HAYASHI, Carlos Roberto Massao ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Filosofia e Educação,2013
"HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista HISTEDBR On-line,2013
"HAYASHI, Maria Cristina Piumbato Innocentini ","BELLO, Suzelei Faria","BARBOSA, Henrianne","FERREIRA JR, Amarílio",,,,,,,,,,,,,,,,,,,,,,,,,Plures Humanidades (Ribeirão Preto),2012
"HAYASHI, Maria Cristina Piumbato Innocentini","BELLO, Suzelei Faria",,,,,,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2014
"HAYASHI, Maria Cristina Piumbato Innocentini ","FERREIRA JR, Amarílio","HAYASHI, Carlos Roberto Massao","BITTAR, Marisa",,,,,,,,,,,,,,,,,,,,,,,,,ETD : Educação Temática Digital,2012
"HAYASHI, Maria Cristina Piumbato Innocentini ","BELLO, Suzelei Faria","HAYASHI, Carlos Roberto Massao","MARCELO, Julia Fernandes ",,,,,,,,,,,,,,,,,,,,,,,,,Revista Interamericana de Bibliotecologia,2012
"HAYASHI, Maria Cristina Piumbato Innocentini","HAYASHI, Carlos Roberto Massao","FRANCA, Andressa de Almeida",,,,,,,,,,,,,,,,,,,,,,,,,,Liinc em Revista,2013
"HAYASHI, Maria Cristina Piumbato Innocentini","RIGOLIN, Camila Carneiro Dias","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,Política & Sociedade (Impresso),2012
"HAYASHI, Maria Cristina Piumbato Innocentini ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Filosofia e Educação,2013
"HAYASHI, Maria Cristina Piumbato Innocentini ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Estudos de Sociologia,2014
"HAYASHI, Maria Cristina Piumbato Innocentini ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Diálogo Educacional (PUCPR. Impresso),2011
"HOFFMANN, Wanda Aparecida Machado","BOCCATO, Vera Regina Casari","SANTOS, Cíntia Almeida da Silva",,,,,,,,,,,,,,,,,,,,,,,,,,Revista EDICIC,2011
"HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"JUGEND, Daniel ","SILVA, Sergio Luis da","OPRIME, Pedro Carlos","PIMENTA, Márcio Lopes",,,,,,,,,,,,,,,,,,,,,,,,,Innovation (North Sydney),2015
"JUGEND, Daniel ","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,,,Journal of Technology Management & Innovation,2012
"JUGEND, Daniel ","SILVA, Sergio Luis da","ALMEIDA, Luís Fernando Magnanini de","GOBBO JÚNIOR, José Alcides ",,,,,,,,,,,,,,,,,,,,,,,,,Journal of Technology Management & Innovation,2013
"JUGEND, Daniel  ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique","LEONI, Juliene Navas",,,,,,,,,,,,,,,,,,,,,,,,,DYNA (Medellín),2015
"JUGEND, Daniel ","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,,,International Journal of Business Innovation and Research (Print),2014
"JUGEND, Daniel ","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,,,Concurrent Engineering: Research and Applications,2014
"LANDGRAF, Juliana Roberta Morcelli  ","ZAFALON, Zaira Regina ",,,,,,,,,,,,,,,,,,,,,,,,,,,REVERTE - Revista de Estudos e Reflexões Tecnológicas da Faculdade de Tecnologia de Indaiatuba - FATEC-ID,2011
"LEONI, Juliene Navas ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique","JUGEND, Daniel","SILVA, Mila Gibran",,,,,,,,,,,,,,,,,,,,,,,,Espacios (Caracas),2014
"LIMA, Debora Correa de ","HAYASHI, Maria Cristina Piumbato Innocentini","MARTINEZ, Claudia Maria Simões",,,,,,,,,,,,,,,,,,,,,,,,,,Distúrbios da Comunicação,2014
"LIMA, Ricardo Arcanjo de ","VELHO, Lea Maria Leme Strini","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,,Boletim de Pesquisa e Desenvolvimento (Embrapa Solos. Online),2011
"LIMA, Ricardo Arcanjo de","VELHO, Lea Maria Leme Strini","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Impresso),2012
"LOUSADA, Mariana ","SALAZAR-GARCIA, Cristiane Luiza","WOIDA, Luana Maia","DAL' EVEDOVE, Paula Regina","GARCIA, Regis","VALENTIM, Marta Lígia Pomim",,,,,,,,,,,,,,,,,,,,,,,Anales de Documentación (Internet),2012
"MACNAGHTEN, Phil","OWEN, Richard","STILGOE, Jack","WYNNE, Brian","AZEVEDO, Adalberto","CAMPOS, André Luiz Sica de","CHILVERS, Jason","DAGNINO, Renato","GIULIO, Gabriela Di","FROW, Emma","GARVEY, Brian","GROVES, Christopher","HARTLEY, Sarah","KNOBEL, Marcelo","KOBAYASHI, Elizabete","LEHTONEN, Markku","LEZAUN, Javier","MELLO, Leonardo Freire de","MONTEIRO, Marko","COSTA, Janaina Pamplona da","RONDANI, Bruno","STAYKOVA, Margarita","TADDEI, Renzo","TILL, Chris","TYFIELD, David","VELHO, Léa","WILFORD, Sara","RIGOLIN, Camila Carneiro Dias",Teoria & Pesquisa (on line),2015
"MACNAGHTEN, Phil","OWEN, Richard","STILGOE, Jack","WYNNE, Brian","AZEVEDO, Adalberto","CAMPOS, André Luiz Sica de","CHILVERS, Jason","DAGNINO, Renato","GIULIO, Gabriela Di","FROW, Emma","GARVEY, Brian","GROVES, Christopher","HARTLEY, Sarah","KNOBEL, Marcelo","KOBAYASHI, Elizabete","LEHTONEN, Markku","LEZAUN, Javier","MELLO, Leonardo Freire de","MONTEIRO, Marko","COSTA, Janaina Pamplona da","RONDANI, Bruno","STAYKOVA, Margarita","TADDEI, Renzo","TILL, Chris","TYFIELD, David","VELHO, Léa","WILFORD, Sara","RIGOLIN, Camila Carneiro Dias",Journal of Responsible Innovation,2014
"MARCELO, Julia Fernandes ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2013
"MARTINS, Adriana Regina ","OPRIME, Pedro Carlos","HOFFMANN, Wanda Aparecida Machado","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,Competitive Intelligence Magazine,2012
"MAZINI, Sérgio Ricardo ","JUGEND, Daniel","SILVA, Sergio Luis da","GOBBO JÚNIOR, José Alcides ",,,,,,,,,,,,,,,,,,,,,,,,,Product (IGDP),2013
"MELLO, Livia Coelho de","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Brasileira de Ciência, Tecnologia e Sociedade",2011
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,Materials Research (São Carlos. Impresso),2013
"MILANEZ, Douglas Henrique ","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","SCHIAVI, Marcela Taiane",,,,,,,,,,,,,,,,,,,,,,,,Materials Research (São Carlos. Impresso),2013
"MILANEZ, Douglas Henrique","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,Materials Research (São Carlos. Impresso),2014
"MILANEZ, Douglas Henrique ","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","CONSERVA JUNIOR, Antonio Carlos Alves",,,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2014
"MORESCHI, Cândice Lima ","BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Educação Especial (Online),2013
"NININ, Débora Marroco","AMARAL, Roniberto Morato do","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,Transinformação,2015
"NOVELLI, Valéria Aparecida Moreira","HOFFMANN, Wanda Aparecida Machado ","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Impresso),2014
"NOVELLI, Valéria Aparecida Moreira","HOFFMANN, Wanda Aparecida Machado ","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2011
"NOVELLI, Valéria Aparecida Moreira","HOFFMANN, Wanda Aparecida Machado ","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,Biblionline (João Pessoa),2011
"OTSUDA, Joice Lee  ","SANTOS, Elis Gabriela Copa dos","GRACIOSO, Luciana de Souza","ROSALES, Gislaine Cristina Micheloti","KAWAKAMI, Cristian",,,,,,,,,,,,,,,,,,,,,,,,Revista Brasileira de Informática na Educação,2015
"PACAGNELLA JÚNIOR, Antônio Carlos  ","KANNEBLEY JÚNIOR, Sérgio","SILVA, Sergio Luis da","SALGADO JÚNIOR, Alexandre Pereira","PORTO, Geciane Silveira",,,,,,,,,,,,,,,,,,,,,,,,Gestão & Produção (UFSCAR. Impresso),2012
"PACAGNELLA JÚNIOR, Antônio Carlos  ","SILVA, Sergio Luis da","PACIFICO, Ornella",,,,,,,,,,,,,,,,,,,,,,,,,,MundoPM (Curitiba),2012
"PACAGNELLA JÚNIOR, Antônio Carlos ","JUGEND, Daniel","SILVA, Sergio Luis da","SALGADO JÚNIOR, Alexandre Pereira","BONACIM, Carlos Alberto Grespan",,,,,,,,,,,,,,,,,,,,,,,,Pesquisa & Desenvolvimento Engenharia de Produção,2011
"PACAGNELLA JÚNIOR, Antônio Carlos ","SILVA, Sergio Luis da","PACIFICO, Ornella","SALGADO JÚNIOR, Alexandre Pereira",,,,,,,,,,,,,,,,,,,,,,,,,Iberoamerican Journal of Project Management (IJoPM),2014
"PACAGNELLA JÚNIOR, Antônio Carlos  ","SILVA, Sergio Luis da","PACIFICO, Ornella","SALGADO JÚNIOR, Alexandre Pereira","TOLEDO, José Carlos de",,,,,,,,,,,,,,,,,,,,,,,,Espacios (Caracas),2014
"PINHEIRO, Raquel Cristina ","PIZZANI, Luciana","MARTINEZ, Claudia Maria Simões","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,Revista Educação Especial (UFSM),2012
"PIZZANI, Luciana","BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini","SILVA, Rosemary Cristina da",,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2012
"PUERTA, Adriana Aparecida","FARIA, Leandro Innocentini Lopes de","PENTEADO FILHO, Roberto de Camargo",,,,,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2012
"RAMALHO, Rogério Aparecido Sá","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,,Anales de Documentación (Internet),2011
"RAMALHO, Rogério Aparecido Sá","OUCHI, Marcos Teruo",,,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2012
"RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Tecnologia (Itec),2015
"RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista EDICIC,2011
"REBELLATO, Carolina ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,"RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde",2014
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Liinc em Revista,2012
"RIGOLIN, Camila Carneiro Dias","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Liinc em Revista,2013
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Universitas Humanistica,2013
"ROSSI, Jandira Ferreira de Jesus","PASSARINI, Luis Carlos","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2012
"SACARDO, Michele Silva ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,RBPG. Revista Brasileira de Pós-Graduação,2011
"SACARDO, Michele Silva   ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Ibero-Americana de Estudos em Educação,2015
"SANTOS, Elis Regina Alves dos","SOUSA, Cidoval Morais de","FERRAZ, Maria Cristina Comunian","SIGNORI, Mônica Baltazar Diniz",,,,,,,,,,,,,,,,,,,,,,,,,Qualit@s (UEPB),2015
"SANTOS, Lucas da Silva dos ","OLIVEIRA, Walison Aparecido de","GRACIOSO, Luciana de Souza","FURNIVAL, Ariadne Chloë Mary","OLIVEIRA, Gabriel Ribeiro de",,,,,,,,,,,,,,,,,,,,,,,,Múltiplos Olhares em Ciência da Informação,2012
"SANTOS, Rojanira Roque dos","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista do Edicc,2012
"SCHIAVI, Marcela Taiane","HOFFMANN, Wanda Aparecida Machado ",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2015
"SCOPEL, Felipe ","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,,,,,,,,,,,,,,,,,Polímeros (São Carlos. Online),2013
"SILVA-JEREZ, Nelson Sebastian ","FURNIVAL, Ariadne Chloë Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,Information Research,2014
"SILVA, Márcia Regina da","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2011
"SILVA, Marco Donizete Paulino da","GRACIOSO, Luciana de Souza","BIANCO, Emilena Josimari Lorenzon",,,,,,,,,,,,,,,,,,,,,,,,,,Biblionline (João Pessoa),2014
"SILVA, MIla Gibran","JUGEND, Daniel","LEONI, Juliene Navas","SILVA, Sergio Luis da","SALGADO, Manoel Henrique",,,,,,,,,,,,,,,,,,,,,,,,Revista Produção Online,2014
"SILVA, Sergio Luis da ","JUGEND, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista de Gestão e Projetos,2012
"SIMIONATO, Ana Carolina ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","PINHO NETO, Júlio Afonso Sá de",,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Tecnologia,2015
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","ARAKAKI, Felipe Augusto",,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2014
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,Anales de Documentación (Internet),2013
"SIQUELLI, Sônia Aparecida  ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,História & Perspectivas (Online),2015
"SOUSA, Raquel Juliana Prado Leite de","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista do Edicc,2012
