autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"SOUZA, Claudia Daniele de","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2014
"SOUZA, Claudia Daniele de","FILIPPO, Daniela de","FARIA, Leandro Innocentini Lopes de","SANZ-CASADO, Elias",,,,,,,,,,,,,,,,,,,,,,,,,Liinc em Revista,2013
"STANGE, Simone Moraes ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Ibero-Americana de Estudos em Educação,2015
"STELMACHUK, Anaí","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Electrónica Iberoamericana Sobre Calidad, Eficacia y Cambio en Educación",2015
"TAÑO, Bruna Lidia","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,"RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde",2015
"TARTAROTTI, Roberta Cristina Dal' Evedove","DAL' EVEDOVE, Paula Regina","BOCCATO, Vera Regina Casari","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,Scire: representación y organización del conocimiento,2013
"TOLEDO, José Carlos de","JUGEND, Daniel","SILVA, Sergio Luis da","MENDES, Glauco Henrique de Sousa",,,,,,,,,,,,,,,,,,,,,,,,,Product (IGDP),2013
"TRISTÃO, Hélcio Martins ","OPRIME, Pedro Carlos","SILVA, Sergio Luis da","JUGEND, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,Journal of Technology Management & Innovation,2013
"VEZZONI, Guilherme"," PACAGNELLA JÚNIOR, Antônio Carlos","BANZI JÚNIOR, Ailton Luiz","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,Revista de Gestão e Projetos,2013
"ZABOTTO, Cristina Nardin ","SILVA, Sergio Luis da","TORKOMIAN, Ana Lúcia Vitale",,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Gestão & Conhecimento,2014
"ZAFALON, Zaira Regina ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","PEREIRA, Ana Maria","SILVA, Jairo da",,,,,,,,,,,,,,,,,,,,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2015
"ZAFALON, Zaira Regina ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2012
"ZAFALON, Zaira Regina",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista CRB-8 Digital,2013
"ZAUITH, Gabriela","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,"Revista Brasileira de Ciência, Tecnologia e Sociedade",2011
"ZAUITH, Gabriela ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista HISTEDBR On-line,2013
"ZAUITH, Gabriela","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Filosofia e Educação,2014
"CHANCHETTI, Lucas Faccioni","OVIEDO DIAZ, Sérgio Manuel","MILANEZ, Douglas Henrique","LEIVA, Daniel Rodrigo","FARIA, Leandro Innocentini Lopes de","ISHIKAWA, Tomaz Toshimi",,,,,,,,,,,,,,,,,,,,,,,International Journal of Hydrogen Energy,2016
"CAMARGO, Juliana Ravaschio Franco de","FARIA, Leandro Innocentini Lopes de","QUONIAM, Luc",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2010
"LIMA, Ricardo Arcanjo de ","VELHO, Lea Maria Leme Strini","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,,,,,,,,,,,,,,,Boletim de Pesquisa e Desenvolvimento (Embrapa Solos. Online),2010
"SILVA, Irisneide Oliveira Souza","DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,,,,,,,,,,,,,,,Scire,2010
"FUJITA, Mariângela Spotti Lopes ","DAL' EVEDOVE, Paula Regina",,,,,,,,,,,,,,,,,,,,,,,,,,,Scire,2010
"PINTO, Euzebio Luiz ","FURNIVAL, Ariadne Chloë Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,Brazilian Journal of Information Science,2016
"ARAUJO, Ronaldo Ferreira de ","FURNIVAL, Ariadne Chloë Mary",,,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2016
"FURNIVAL, Ariadne Chloë Mary ",,,,,,,,,,,,,,,,,,,,,,,,,,,,ALISS Quarterly,2010
"HAYASHI, Maria Cristina Piumbato Innocentini  "," ZAIUTH, Gabriela","BELLO, Suzelei Faria","GOMES, Cintia","GUIMARAES, Vera Aparecida Lui","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,,,,,,,,,,,Revista Tecnologia e Sociedade (Online),2010
"MAZOCCO, Fabricio José  ","SOUSA, Cidoval Morais de","FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,,,,,,,,,,,,,,,Interciencia (Caracas),2010
"ANDRADE, Thalles Novaes de ","MAZOCCO, Fabricio José","SOUSA, Cidoval Morais de"," FERRAZ, Maria Cristina Comunian",,,,,,,,,,,,,,,,,,,,,,,,,Revista Comunicação Midiática,2010
"JUGEND, Daniel","BARBALHO, Sanderson César Macedo","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,,Production,2016
"CONFORTO, Edivandro Carlos   ","SILVA, Sergio Luis da","AMARAL, Daniel Capaldo","DI FELIPPO, Ariani","KAMIKAWACHI, Dayse Simon Landim",,,,,,,,,,,,,,,,,,,,,,,,International Journal of Project Management,2016
"JUGEND, Daniel ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique","MIGUEL, Paulo Augusto Cauchick",,,,,,,,,,,,,,,,,,,,,,,,,Journal of Business Research,2016
"BARBALHO, Sanderson Cesar Macedo ","SILVA, Sergio Luis da","DIAS, Marcos Antônio ","CUSTÓDIO, Janiele Eduarda Silva Costa",,,,,,,,,,,,,,,,,,,,,,,,,Revista Produção Online,2016
"ALMEIDA, Luís Fernando Magnanini de  ","CONFORTO, Edivandro Carlos","SILVA, Sergio Luis da","AMARAL, Daniel Capaldo",,,,,,,,,,,,,,,,,,,,,,,,,Produção (São Paulo. On-Line),2016
"SILVA, Sergio Luis da","JUGEND, Daniel",,,,,,,,,,,,,,,,,,,,,,,,,,,Produção (São Paulo. Impresso),2010
"PACAGNELLA JÚNIOR, Antônio Carlos ","SILVA, Sergio Luis da","PORTO, Geciane Silveira","SALGADO JÚNIOR, Alexandre Pereira",,,,,,,,,,,,,,,,,,,,,,,,,REAd. Revista Eletrônica de Administração (Porto Alegre. Online),2010
"CAMPOS, Telmo Ribeiro de","SILVA, Sergio Luis da",,,,,,,,,,,,,,,,,,,,,,,,,,,"GEPROS. Gestão da Produção, Operações e Sistemas (Online)",2010
"JUGEND, Daniel ","TOLEDO, José Carlos de ","SILVA, Sergio Luis da","ONOYAMA, Márcia Mitiko",,,,,,,,,,,,,,,,,,,,,,,,,Product (IGDP),2010
"GRACIOSO, Luciana de Souza","PINTO, Lourival Pereira",,,,,,,,,,,,,,,,,,,,,,,,,,,Logeion: Filosofia da Informação,2016
"ANTONIO, Alexei David","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,,,InCID: Revista de Ciência da Informação e Documentação,2010
"PUERTA, Adriana Aparecida  ","AMARAL, Roniberto Morato do","GRACIOSO, Luciana de Souza",,,,,,,,,,,,,,,,,,,,,,,,,,RevIU. Revista Informação & Universidade,2010
"RAMALHO, Rogério Aparecido Sá ",,,,,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2016
"LIZARELLI, Fabiane Letícia  ","BESSI, Nayara Cristini","OPRIME, Pedro Carlos","AMARAL, Roniberto Morato do","CHAKRABORTI, Subhabrata ",,,,,,,,,,,,,,,,,,,,,,,,Gestão & Produção,2016
"SACOMANO NETO, Mário ","AMARAL, Roniberto Morato do","MATUI, Paulo Cesar","CANDIDO, Silvio Eduardo Alvarez",,,,,,,,,,,,,,,,,,,,,,,,,Revista Brasileira de Gestão de Negócios (Online),2016
"AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","QUONIAM, Luc","BRITO, Aline Grasiele Cardoso de","ROCHA, Karin Gomes da Silva",,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Ciência da Informação (Online),2016
"AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","QUONIAM, Luc","LEIVA, Daniel Rodrigo","MILANEZ, Douglas Henrique","FIORONI, Joyce",,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2016
"CASTRO, Fabiano Ferreira de",,,,,,,,,,,,,,,,,,,,,,,,,,,,Transinformação,2016
"CASTRO, Fabiano Ferreira de","SALES, Aline Rodrigues de Souza","SIMIONATO, Ana Carolina",,,,,,,,,,,,,,,,,,,,,,,,,,Encontros Bibli,2016
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2010
"PEREIRA, Maria Aparecida","FERREIRA JR, Amarílio","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Brasileira de História da Educação,2016
"PAIVA-ALVES, Cristiane","COPPEDE, Aline Cirelli","HAYASHI, Maria Cristina Piumbato Innocentini","MARTINEZ, Claudia Maria Simões",,,,,,,,,,,,,,,,,,,,,,,,,Revista Educação Especial (Online),2016
"HAYASHI, Maria Cristina Piumbato Innocentini","GUIMARÃES, Vera Aparecida Lui ",,,,,,,,,,,,,,,,,,,,,,,,,,,Em Questão (UFRGS. Impresso),2016
"GUIMARÃES, Vera Aparecida Lui ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,HIb: Revista de Historia Iberoamericana,2016
"BENTES, José Anchieta de Oliveira","HAYASHI, Maria Cristina Piumbato Innocentini","SILVA, Cyntia França Cavalcante de Andrade da",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Ibero-Americana de Estudos em Educação,2016
"GONÇALVES, Taísa Liduenha ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista da FAEEBA,2016
"HAYASHI, Maria Cristina Piumbato Innocentini","GONÇALVES, Taísa Liduenha",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Brasileira de Educação do Campo,2016
"HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini","RIGOLIN, Camila Carneiro Dias","GUIMARAES, Vera Aparecida Lui",,,,,,,,,,,,,,,,,,,,,,,,,Informação & Informação (UEL. Online),2016
"BENTES, José Anchieta de Oliveira  ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Brasileira de Educação,2016
"HAYASHI, Maria Cristina Piumbato Innocentini","ROTHBERG, Danilo","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,Scientometrics (Print),2010
"SOUSA, Cidoval Morais de","HAYASHI, Maria Cristina Piumbato Innocentini","SILVA, Mayara Karla Dantas","GONÇALVES, Waldeciele Lima",,,,,,,,,,,,,,,,,,,,,,,,,Diálogos & Ciência (Online),2010
"BRAVO, Aline Droppé ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Eletrônica de Educação (São Carlos),2010
"PIZZANI, Luciana  ","BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Revista Educação Especial (UFSM),2010
"HAYASHI, Maria Cristina Piumbato Innocentini ","BELLO, Suzelei Faria","ZAUITH, Gabriela","GOMES, Cintia","GUTIERREZ, Rafaela Francisconi","RIGOLIN, Camila Carneiro Dias","GUIMARÃES, Vera Aparecida Lui",,,,,,,,,,,,,,,,,,,,,,Revista Tecnologia e Sociedade (Online),2010
"BELLO, Suzelei Faria ","PIZZANI, Luciana","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,,,,,,,,,,,,,,,Distúrbios da Comunicação,2010
"SANTOS, Cíntia Almeida da Silva ","HOFFMANN, Wanda Aparecida Machado ",,,,,,,,,,,,,,,,,,,,,,,,,,,Páginas A & B. Arquivos & Bibliotecas,2016
"CORSATTO, Cássia Aparecida ","HOFFMANN, Wanda Aparecida Machado ",,,,,,,,,,,,,,,,,,,,,,,,,,,Perspectivas em Gestao & Conhecimiento,2016
"ZEM-LOPES, Aparecida Maria","HOFFMANN, Wanda Aparecida Machado ",,,,,,,,,,,,,,,,,,,,,,,,,,,Técnicouro (Novo Hamburgo),2010
"COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,,,,,,,,,,,,,,,,,Tendências da Pesquisa Brasileira em Ciência da Informação,2010
"COSTA, Luzia Sigoli Fernandes  ","SCARPELINE, Rosaelena","NAKAGAWA, Elisa Yumi",,,,,,,,,,,,,,,,,,,,,,,,,,Resgate (UNICAMP),2010
"PEREIRA, Vagner Ricardo de Araujo ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Ibero-Americana de Estudos em Educação,2016
"PEREIRA, Vagner Ricardo de Araujo ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Tecnologia e Sociedade (Online),2016
"PEREIRA, Vagner Ricardo de Araujo ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Iberoamericana de Ciencia Tecnología y Sociedad (En Línea),2016
"HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Eletrônica de Educação (São Carlos),2016
"HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,,,Revista Eletrônica de Educação (São Carlos),2016
"HAYASHI, Carlos Roberto Massao ","FERREIRA JR, Amarílio",,,,,,,,,,,,,,,,,,,,,,,,,,,Avaliação (UNICAMP),2010
"HAYASHI, Maria Cristina Piumbato Innocentini  ","ROTHBERG, Danilo","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,,,,,,,,,,,,,,,Scientometrics (Print),2010
"BENDER, Layra Andressa Paulino ","SIMIONATO, Ana Carolina","ALBUQUERQUE, Ana Cristina de",,,,,,,,,,,,,,,,,,,,,,,,,,Revista ACB (Florianópolis),2016
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,Percursos (Florianópolis. Online),2016
"SIMIONATO, Ana Carolina","SANTOS, Amanda Azevedo dos","LOTUMOLO JUNIOR, José","TRIQUES, Maria Lígia","PRADO, Samanta do Prado",,,,,,,,,,,,,,,,,,,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,,,,,,,,,,,,,,,,RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),2016
