autor,autor,autor,autor,autor,autor,autor,autor,per,ano
"PALETTA, Francisco Carlos ","VASCONCELOS, Paula Oliveira","GONÇALVES, Ygor Soares",,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2015
"PALETTA, Francisco Carlos","SILVA, Leonardo Gonçalves","SANTOS, Thamyres Vieira",,,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2014
"PALETTA, Francisco Carlos ","SILVA, Joelma Alves","AUGUSTO, Márcia Silva","SILVA, Yara Cristina Pereira da",,,,,Ciência da Informação em Revista,2015
"PALETTA, Francisco Carlos","PELISSARO, Barbara",,,,,,,Revista Digital de Biblioteconomia e Ciência da Informação,2015
"PALETTA, Francisco Carlos","MUCHERONI, Marcos Luiz",,,,,,,Prisma.com,2014
"PALETTA, Francisco Carlos","MALDONADO, Edison Puig",,,,,,,Revista Inteligência Competitiva,2014
"PALETTA, Francisco Carlos","GODOY, Celso Jorge",,,,,,,Revista Inteligência Competitiva,2014
"PALETTA, Francisco Carlos ","FERNANDES, Leandro Raniero","FERREIRA, Mariana S. B.","SANTOS, Gilmara dos","OLIVEIRA, Jessica Manfrim",,,,"Información, Cultura y Sociedad",2015
"PALETTA, Francisco Carlos","DOU, Henri","DUPIN, Patricia",,,,,,Journal of Intelligence Studies in Business,2013
"PALETTA, Francisco Carlos","DIAS, Daniel",,,,,,,Prisma.com,2014
"PALETTA, Francisco Carlos","CHAPARIN, Sandra Joana D´Arc","KUSUMOTO, Camila Yumi","SOUZA, Angelina",,,,,Pesquisa Brasileira em Ciência da Informação e Biblioteconomia,2014
"PALACIO, Fabiana Gulin Longhi","LIMA, Vânia Mara Alves",,,,,,,Tendências da Pesquisa em Ciência da Informação,2015
"ORTH, Gabriela Previdello Ferreira","FRANCELIN, Marivalde Moacir",,,,,,,Datagramazero (Rio de Janeiro),2015
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,Periódico Permanente,2012
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,Revista Observatório Itaú Cultural,2015
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,Datagramazero (Rio de Janeiro),2011
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,Datagramazero (Rio de Janeiro),2014
