Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"ASHTOFFEN, Robson ","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"ASHTOFFEN, Robson ","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"ANDRADE, Julietti de","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"ANDRADE, Julietti de","LARA, Marilda Lopes Ginez de",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2011
"ALMEIDA, Robinson Mascarenhas","MUCHERONI, Marcos Luiz",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"AGUIAR, Giseli Adornato de","SILVA, José Fernando Modesto da",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"AGUIAR, Giseli Adornato de","SILVA, José Fernando Modesto da",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"AGUIAR, Alexandre de Oliveira e","CÔRTES, Pedro Luiz",,,,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2011
"SILVA, Adaci Aparecida Oliveira Rosa da","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"FUJINO, Asa","VASCONCELOS, Michele de Oliveira ",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"SANTOS, Marcelo dos ","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"GONÇALVES, Aline Lima ","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"SANTOS, Marcelo dos  ","FUJINO, Asa",,,,,,Congresso Brasileiro de Informática em Saúde,2010
"PASSARELLI, Brasilina ","TAVERNARI, Mariana","GRISOLIA, Daisy",,,,,Congresso Internacional ABED de Educação a Distância,2010
"PASSARELLI, Brasilina ","BOTELHO, Rodrigo Eduardo Francisco","JUNQUEIRA, Antônio Hélio",,,,,Congresso Brasileiro de Ciências da Comunicação,2010
"LESSA, Rodolfo Calil","SANTOS, Cibele Araujo Camargo Marques dos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SANTOS, Cibele Araujo Camargo Marques dos","SANCHES, Fabíola Rizzo","ROSA, José Carlos Balbino","CRESTANA, Maria Fazanelli",,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"LOMBARDI, Valéria Vilhena ","ARAGAO, Marinalva de Souza","SANTOS, Cibele Araujo Camargo Marques dos","CRESTANA, Maria Fazanelli",,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"SANTOS, Cibele Araujo Camargo Marques dos","TORRE, Silvia Regina Saran Della Icon","MATSUDA, Roseli Koizimi Icon ","GUERRA, Sonia Regina Yole Icon","MORAES, Juliana de Souza Icon","LIMA, Vânia Mara Alves",,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"PALETTA, Francisco Carlos",,,,,,,Seminário em Ciência da Informação,2016
"NASCIMENTO, Ellen Cardoso","PALETTA, Francisco Carlos","ROLIM, Juliana ",,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SILVA, José Fernando Modesto da ","MUCHERONI, Marcos Luiz","PALETTA, Francisco Carlos",,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"CAPOBIANCO, Ligia ","PALETTA, Francisco Carlos",,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SILVA, Armando Manuel Barreiros Malheiro da ","PALETTA, Francisco Carlos",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"PALETTA, Francisco Carlos ",,,,,,,AIEA Annual Conference,2010
"PALETTA, Francisco Carlos","JEWELL, Linda",,,,,,AIEA Annual Conference,2010
"SIQUEIRA, Ivan Claudio Pereira ",,,,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SIQUEIRA, Ivan Claudio Pereira",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"PASSOS, Marcos Paulo de","PIERUCCINI, Ivete",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"PIERUCCINI, Ivete","PERROTTI, Edmir",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"Micheroni, Marcos Luiz ","SILVA, José Fernando Modesto da","PALETTA, Francisco Carlos",,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2016
"MARINGELLI, Isabel Ayres","SILVA, José Fernando Modesto da",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"AGUIAR, Giseli Adornato de ","SILVA, José Fernando Modesto da",,,,,,Jornadas Virtuales Iberoamericanas De Bibliotecología,2010
"AGUIAR, Giseli Adornato de","SILVA, José Fernando Modesto da",,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,Seminário Internacional de Políticas Culturais,2010
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"SANTOS, Marcelo dos","ROCHA, Joeli Espírito Santo",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"FUSCO, Elvis","MUCHERONI, Marcos Luiz","PEREIRA, Fábio Dacêncio",,,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SANTOS, Edison Luís dos","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"FUSCO, Elvis","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"FRANCELIN, Marivalde Moacir",,,,,,,Encuentro de Directores y Docentes de Escuelas de Bibliotecología y Ciencia de la Informacion del Mercosur (EBCIM),2016
"ZAMBONI, Rita Costa Veiga","FRANCELIN, Marivalde Moacir",,,,,,ISKO - Information Society for Knowledge Organization,2016
"RIBEIRO, Duanne de Oliveira",,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"ZAMBONI, Rita Costa Veiga ","FRANCELIN, Marivalde Moacir",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"FRANCELIN, Marivalde Moacir ","KOBASHI, Nair Yumiko",,,,,,Simposio Iberoamericano de Terminologia - RITerm,2010
"CÔRTES, Pedro Luiz",,,,,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2010
"CÔRTES, Pedro Luiz ",,,,,,,Conference on Environmental Management and Accounting,2010
"NASCIMENTO, Carla Cristina do","MUGNAINI, Rogério",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2016
"MUGNAINI, Rogério","SANTOS, Silvio Marcos Dias",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2010
"CROZATTI, Jaime","MUGNAINI, Rogério","RODRIGUES, Guilherme Mendonça","PEDRUCCI, Sheyla Aparecida Tavares ",,,,Encontro de Administração Pública e Governança da ANPAD,2010
"YUCRA, Marisol Solis","WASSERMANN, Renata","LIMA, Vânia Mara Alves ",,,,,ISKO - Information Society for Knowledge Organization,2016
"LIMA, Vânia Mara Alves","COSTA, Ivani Di Grazia","GUIMARÃES, Magda de Oliveira","GESSEFF, Ednilson",,,,International Conference on Information Systems and Technology Management (CONTECSI),2016
"SANTOS, Cibele Araujo Camargo Marques dos",,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SANTOS, Cibele Araujo Camargo Marques dos","VOGEL, Michely Jabala Mamede","LIMA, Vânia Mara Alves","BARCELLOS, João Carlos Holland",,,,ISKO - Information Society for Knowledge Organization,2013
"SANTOS, Cibele Araujo Camargo Marques dos","JESUS, Eduardo de Abreu","LUCA, João Ricardo de",,,,,ISKO - Information Society for Knowledge Organization,2015
"PASSOS, Marcos Paulo de ","PIERUCCINI, Ivete",,,,,,Encuentro Ibérico EDICIC ,2013
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,Encuentro Ibérico EDICIC ,2015
"LIMA, Vânia Mara Alves",,,,,,,ISKO - Information Society for Knowledge Organization,2015
"LIMA, Vânia Mara Alves","VITORIANO, Fabiana Gulin Longhi","BARBANTI, Cristina Hilsdorf",,,,,ISKO - Information Society for Knowledge Organization,2015
"LARA, Marilda Lopes Ginez de",,,,,,,ISKO - Information Society for Knowledge Organization,2013
"LARA, Marilda Lopes Ginez de",,,,,,,ISKO - Information Society for Knowledge Organization,2012
"LARA, Marilda Lopes Ginez de",,,,,,,ISKO - Information Society for Knowledge Organization,2015
"LARA, Marilda Lopes Ginez de","ORTH, Gabriela Previdello Ferreira","KOBASHI, Nair Yumiko",,,,,ISKO - Information Society for Knowledge Organization,2015
