Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"SANTANA, Solange Alves","FRANCELIN, Marivalde Moacir",,,,,,Seminários de Pesquisa FESPSP,2015
"SALGADO, Denise Mancera","SILVA, José Fernando Modesto da",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"RUIZ, Mauro Silva","CÔRTES, Pedro Luiz","TEIXEIRA, Cláudia Echevenguá","AGUIAR, Alexandre de Oliveira e",,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2011
"RUIZ, Mauro Silva ","BERNARDELLI JR., José Maria ","CORRÊA, Rosany","CÔRTES, Pedro Luiz ",,,,Encontro Internacional sobre Gestão Empresarial e Meio Ambiente (ENGEMA),2011
"ROZESTRATEN, Artur Simoes ","LIMA, Vânia Mara Alves","MARQUES, Eliana de Azevedo","ORTH, Gabriela Previdello Ferreira",,,,Seminário IberoAmericano - Arquitetura e Documentação,2013
"ROZESTRATEN, Artur Simoes ","LIMA, Vânia Mara Alves","MARQUES, Eliana de Azevedo","ORTH, Gabriela Previdello Ferreira","TRONCARELLI, Ruth Cuiá",,,Seminário Internacional sobre Documentação do Patrimônio Arquitetônico com o uso de tecnologias digitais,2014
"RIBEIRO, Camila","MUCHERONI, Marcos Luiz",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2013
"RIBEIRO, Camila ","MUCHERONI, Marcos Luiz",,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"RAMOS, Lúcia Verônica Costa","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"PIRES, Daniele Cristina Gonçalves Brene","SILVA, José Fernando Modesto da",,,,,,Seminário Nacional de Documentação e Informação Jurídica,2013
"PINTO, Daniela Maciel","SANTOS, Marcelo dos",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"PIERUCCINI, Ivete ","PERROTTI, Edmir",,,,,,Forum de Pesquisa em Biblioteca Escolar,2012
"PEREIRA, Maria Fátima","SIQUEIRA, Ivan Claudio Pereira","BUENO, Ricardo Luiz Pereira",,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2012
"PEREIRA, César Antônio","FUJINO, Asa",,,,,,Encontro Brasileiro de Bibliometria e Cientometria (EBBC),2014
"PEREIRA, César Antônio","FUJINO, Asa",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (ENANCIB),2015
"PEREIRA, César Antônio","FUJINO, Asa","SILVEIRA, Marco Antônio",,,,,Congreso Latino-Iberoamericano de Gestión Tecnologica,2011
"PASSARELLI, Brasilina",,,,,,,IFLA WLIC,2014
"PASSARELLI, Brasilina","VETRITTI, Fabiana Grieco Cabral de Mello",,,,,,Congresso Ibero-americano de Comunicação (IBERCOM),2015
