Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"CARLOS, Kamilla Vinha","ZAFALON, Zaira Regina",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"CARLOS, Kamilla Vinha","ZAFALON, Zaira Regina",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"CARVALHO NETO, Gil Ramos de","FERRAZ, Maria Cristina Comunian","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,Seminário Ecologia Política e Direito na América Latina,2013
"CARVALHO NETO, Gil Ramos de ","FERRAZ, Maria Cristina Comunian","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,Congresso Nacional de Meio Ambiente de Poços de Caldas,2014
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2013
"CASTRO, Fabiano Ferreira de","SANTOS, Sandra Vieira",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"CHANCHETTI, Lucas Faccioni","MILANEZ, Douglas Henrique","LEIVA, Daniel Rodrigo","ISHIKAWA, Tomaz","FARIA, Leandro Innocentini Lopes de",,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2014
"COELHO, Márcio","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Congresso Latinoamericano de Filosofia da Educação,2011
"CONCEIÇÃO JÚNIOR, Joel","SILVA, Sergio Luis da",,,,,,,,,,,,"Simpósio de Administração da Produção, Logística e Operações Internacionais (SIMPOI)",2011
"CONFORTO, Edivandro Carlos  ","AMARAL, Daniel Capaldo","ALMEIDA, Luís Fernando Magnanini de","SILVA, Sergio Luis da","SALUM, Fabian Ariel","PEREIRA, Raoni Henrique de Faria","SOARES, Luiza Grisolia Oliveira Netto",,,,,,,International Product Development Management Conference,2012
"CONFORTO, Edivandro Carlos ","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da",,,,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2011
"CORSATTO, Cássia Aparecida ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2015
"CORSATTO, Cássia Aparecida  ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,ESOCITE/4S Annual Meeting in Buenos Aires,2014
"COSTA, Jesuina Aparecida da","PERINI, Rinaldo","AMARAL, Roniberto Morato do",,,,,,,,,,,Congresso e Mostra Internacionais SAE BRASIL de Tecnologia da Mobilidade,2013
"COSTA, Luzia Sigoli Fernandes","GRACIOSO, Luciana de Souza",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,,Seminário Nacional de Documentação do Patrimônio Arquitetônico com o uso das tecnologias digitais,2012
"COSTA, Luzia Sigoli Fernandes ",,,,,,,,,,,,,Congresso da Sociedade Iberoamericana de Gráfica Digital,2014
"COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,,Seminário Nacional de Documentação do Patrimônio Arquitetônico com o uso das tecnologias digitais,2012
"CUNHA, Gabriela Aparecida da ","CASTRO, Fabiano Ferreira de",,,,,,,,,,,,"Encontro Regional dos Estudantes de Biblioteconomia, Documentação, Ciência e Gestão da Informação (EREBD SUL SE CO)",2015
"DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes","TARTAROTTI, Roberta Cristina Dal' Evedove",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2013
"DAL' EVEDOVE, Paula Regina",,,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"DURAN, Maria Raquel Cruz ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,"Seminário Brasileiro de Ciência, Tecnologia e Sociedade",2011
"DURAN, Maria Raquel Cruz ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,Reunião de Antropologia do Mercosul,2011
"EDER, Samuel ","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da","CONFORTO, Edivandro Carlos",,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2012
"EDER, Samuel ","AMARAL, Daniel Capaldo","SILVA, Sergio Luis da","CONFORTO, Edivandro Carlos","SCHNETZLER, Juliana Pereira",,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2011
"ESCRIVÃO, Giovana ","SILVA, Sergio Luis da",,,,,,,,,,,,European Conference on Knowledge Management (ECKM),2012
"ESCRIVÃO, Giovana ","SILVA, Sergio Luis da",,,,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2011
