Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SIMIONATO, Ana Carolina","RODRIGUES, Fernando de Assis","SANTOS, Cely Martins","FERREIRA, Jaider Andrade","SILVA, Renata Eleutério da","SANT'ANA, Ricardo Cesar Gonçalves","ALVES, Rachel Cristina Vesu","RODAS, Cecílio Merlotti","PÖTTKER, Luciana Maria Vieira","LOPES, Rita de Cássia Cassiano",,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2013
"SANTOS, Rojanira Roque dos","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia,2012
"SANTOS, Rojanira Roque dos","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2011
"SARVO, Denilson de Oliveira","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"SCARPELINE, Rosaelena","COSTA, Luzia Sigoli Fernandes","NAKAGAWA, Elisa Yumi",,,,,,,,,,,Seminário Ibero-Americano de aquitetura e documentação,2011
"SCOPEL, Felipe","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,"Congresso Anual da Associação Brasileira de Metalurgia, Materiais e Mineração",2012
"SCURACHIO, Edynea Spricigo","ZAFALON, Zaira Regina",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"SILVA, Antonio Carlos Santos","AMARAL, Roniberto Morato do ",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"SILVA, Daniela Salgado Gonçalves da","GRACIOSO, Luciana de Souza",,,,,,,,,,,,Simpósio Internacional de Educação a Distância,2012
"SILVA, Mila Gibran","JUGEND, Daniel","SALGADO, Manoel Henrique","SILVA, Sergio Luis da","LEONI, Juliene Navas",,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2013
"SILVA, Sara de Jesus","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,"Encontro Regional dos Estudantes de Biblioteconomia, Documentação, Ciência e Gestão da Informação (EREBD SUL SE CO)",2011
"SILVEIRA, Letícia Reis da","GRACIOSO, Luciana de Souza",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2014
"SILVEIRA, Letícia Reis da","GRACIOSO, Luciana de Souza",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"SIMIONATO, Ana Carolina ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SANT'ANA, Ricardo Cesar Gonçalves",,,,,,,,,,,"Encontro Internacional Dados, Tecnologia e Informação",2013
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2015
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2013
"SIMIONATO, Ana Carolina",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2011
"SIQUELLI, Sônia Aparecida  ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Seminário Internacional Contributos da Psicologia em Contextos Educativos,2012
"SORIANO, Érico ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Disaster Management and Human Health Risk,2015
"SOUZA, Claudia Daniele de ","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,Simpósio Nacional de Tecnologia e Sociedade,2011
"SOUZA, Claudia Daniele de","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2012
"SOUZA, Claudia Daniele de","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2012
"SOUZA, Cláudia Daniele de","SILVA, Sergio Luis da",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"SOUZA, Claudia Daniele de","YANAI, Angela Emi","OLIVEIRA, Maria Fernanda de","FARIA, Leandro Innocentini Lopes de",,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2012
"STORTI, Vivian Rosa","ZAFALON, Zaira Regina","LANDGRAF, Juliana Roberta Morcelli",,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2013
"TARTAROTTI, Roberta Cristina Dal' Evedove ","DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2015
"TEDESCHI, Samara Pereira","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,"Simpósio Nacional de Ciência, Tecnologia e Sociedade",2015
"TINELLI, Marcele Aparecida","AMARAL, Roniberto Morato do",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"VERONEZE, Caroline Candido","AMARAL, Roniberto Morato do",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"VEZZONI, Guilherme","PACAGNELLA JÚNIOR, Antônio Carlos ","BANZI JÚNIOR, Ailton Luiz","SILVA, Sergio Luis da","DUARTE, Alexandre de Castro Moura",,,,,,,,,Congresso Brasileiro de Gestão de Desenvolvimento de Produto,2011
"VEZZONI, Guilherme","PACAGNELLA JÚNIOR, Antônio Carlos ","BANZI JÚNIOR, Ailton Luiz","SILVA, Sergio Luis da","DUARTE, Alexandre de Castro Moura",,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2011
"VIEIRA, Damaris Cardoso de Oliveira","SIMIONATO, Ana Carolina",,,,,,,,,,,,Seminário Científico de Arquivologia e Biblioteconomia,2015
"ZABOTTO, Cristina Nardin","SILVA, Sergio Luis da","BENZE, Benedito Galvão",,,,,,,,,,,"Simpósio de Administração da Produção, Logística e Operações Internacionais",2013
"ZAFALON, Zaira Regina ","SOARES, José Elias","RAMALHO, Rogério Aparecido Sá ",,,,,,,,,,,EDICIC,2015
"ZAFALON, Zaira Regina","SIMIONATO, Ana Carolina","RAMALHO, Rogério Aparecido Sá ","CASTRO, Fabiano Ferreira de",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2015
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SILVA, Jairo da",,,,,,,,,,,Encuentro de Catalogación y Metadatos,2015
"ZAFALON, Zaira Regina ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encuentro Internacional e  Nacional de Catalogadores,2012
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"ZAFALON, Zaira Regina",,,,,,,,,,,,,Encontro Nacional de Catalogadores (ENACAT) e Encontro de Estudos e Pesquisas em Catalogação (EEPC),2012
"ZAFALON, Zaira Regina",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2013
"CAMARGO, Juliana Ravaschio Franco de","FARIA, Leandro Innocentini Lopes de ","QUONIAM, Luc ",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de","PERES, Lucas Salomao","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,Congresso Brasileiro de Engenharia e Ciência dos Materiais,2010
"MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de","PERES, Lucas Salomao","GREGOLIN, José Angelo Rodrigues",,,,,,,,,,Congresso Brasileiro de Engenharia e Ciência dos Materiais,2010
"FUJITA, Mariângela Spotti Lopes","DAL' EVEDOVE, Paula Regina","REDÍGOLO, Franciele Marques","MARTINHO, Noemi Oliveira",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2016
"ZAFALON, Zaira Regina ","DAL' EVEDOVE, Paula Regina",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"TARTAROTTI, Roberta Cristina Dal' Evedove ","DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,"Informação, Conhecimento e Ética",2010
"DAL' EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal' Evedove ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"FUJITA, Mariângela Spotti Lopes","DAL' EVEDOVE, Paula Regina",,,,,,,,,,,,Seminário do Grupo de Pesquisa MHTX,2016
"FURNIVAL, Ariadne Chloë Mary",,,,,,,,,,,,,"International Conference on Libraries, Information and Society",2010
"ZAFALON, Zaira Regina","MEY, Eliane Serrão Alves",,,,,,,,,,,,Encuentro de Catalogación y Metadatos,2010
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encuentro de Catalogación y Metadatos,2010
"ZAFALON, Zaira Regina ","LOZANO, Marisa Cubas",,,,,,,,,,,,Encuentro de Directores y Docentes de Escuelas de Bibliotecología y Ciencia de la Informacion del Mercosur (EBCIM),2016
"ZAFALON, Zaira Regina","DAL' EVEDOVE, Paula Regina",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"CÉSAR JUNIOR, José Carlos de Oliveira","ZAFALON, Zaira Regina",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"LANDGRAF, Juliana Roberta Morcelli","ZAFALON, Zaira Regina",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"MALAMAN, Nathalia Thays Frasse","ZAFALON, Zaira Regina",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"SEGNINI, Rita de Cássia ","ZAFALON, Zaira Regina",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"GIGANTE, Luciara Cid ","FERRAZ, Maria Cristina Comunian","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia,2010
"RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia,2010
"BERBEL, Danilo Brancalhão ","RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia,2010
"RIGOLIN, Camila Carneiro Dias",,,,,,,,,,,,,International Congress of the Latin American Studies Association (LASA),2010
"MAZOCCO, Fabricio José","ANDRADE, Thalles Novaes de ","SOUSA, Cidoval Morais de","FERRAZ, Maria Cristina Comunian",,,,,,,,,,Encontro da Associação Brasileira de Ciência Política,2010
"JUGEND, Daniel  ","SILVA, Sergio Luis da","SALGADO, Manoel Henrique","MIGUEL, Paulo Augusto Cauchick",,,,,,,,,,Global Innovation and Knowledge Academy (GIKA) Conference,2016
"BRAATZ, Daniel ","PARAVIZO, Esdras","TONIN, Luiz","SILVA, Sergio Luis da",,,,,,,,,,Congresso Brasileiro de Ergonomia,2016
"LUIZ, Joao Victor Rojas  ","JUGEND, Daniel","SILVA, Sergio Luis da","LUIZ, Octaviano Rojas","SOUZA, Fernando Bernardi de ",,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2016
"ALMEIDA, Luís Fernando Magnanini de","SILVA, Sergio Luis da","PICCIRILLO, Isabela Neto",,,,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2016
"PICCIRILLO, Isabela Neto","SILVA, Sergio Luis da","TOLEDO, José Carlos de",,,,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2016
"MAGANHA, Murilo Roberto Jesus  ","SILVA, Sergio Luis da",,,,,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2016
"ALMEIDA, Luís Fernando Magnanini de","SILVA, Sergio Luis da","PICCIRILLO, Isabela Neto",,,,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2016
"CONCEIÇÃO JUNIOR, Joel da ","SILVA, Sergio Luis da",,,,,,,,,,,,Congresso SAE Brasil,2010
"CONCEIÇÃO JUNIOR, Joel da ","SILVA, Sergio Luis da",,,,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2010
"JUGEND, Daniel ","PACAGNELLA JÚNIOR, Antônio Carlos ","OPRIME, Pedro Carlos ","SILVA, Sergio Luis da",,,,,,,,,,Encontro Nacional de Engenharia de Produção (ENEGEP),2010
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"CONCEIÇÃO JUNIOR, Joel da ","SILVA, Sergio Luis da",,,,,,,,,,,,"Simpósio de Administração da Produção, Logística e Operações Internacionais (SIMPOI)",2010
"CONCEIÇÃO JUNIOR, Joel da ","SILVA, Sergio Luis da",,,,,,,,,,,,"Simpósio de Administração da Produção, Logística e Operações Internacionais (SIMPOI)",2010
"AMARAL, Daniel Capaldo","CONFORTO, Edivandro Carlos","EDER, Samuel","SILVA, Sergio Luis da","OLIVEIRA, Maicon Gouvea de ",,,,,,,,,Simpósio de Engenharia de Produção (SIMPEP),2010
"GRACIOSO, Luciana de Souza ","PERES, Jaqueline Birulio",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"FERRAZ, Angelo","GRACIOSO, Luciana de Souza",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"PUERTA, Adriana Aparecida","GRACIOSO, Luciana de Souza","AMARAL, Roniberto Morato do",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU) e Seminário Internacional de Bibliotecas Digitais,2010
"SOUSA, Victória Elisa Barbara ","DIONELLO, Vanessa","JUSTINO, Thais da Silva","FELIPIN, Andre Luis","VELTRONE, Luiza","GRANDI, Talilane de","MATSUURA JUNIOR, Jackson Paul","GRACIOSO, Luciana de Souza",,,,,,SUDESTE PET,2016
"RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"MARTINS, Paulo George Miranda ","RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,"Encontro Internacional de Dados, Tecnologia e Informação",2016
"REIS, José Eduardo Dos","AMARAL, Roniberto Morato do","SPINOLA, Adriana Tahereh Pereira",,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"BET, Ana Carolina Gonçalves","AMARAL, Roniberto Morato do","COITO, Maria Irani",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2016
"BRITO, Aline Grasiele Cardoso de ","AMARAL, Roniberto Morato do","FARIA, Leandro Innocentini Lopes de","QUONIAM, Luc","VIEIRA, Jader Carlos",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"KARIYADO, Monica Yukie","AMARAL, Roniberto Morato do",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"AMARAL, Roniberto Morato do",,,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"AMARAL, Roniberto Morato do","HOFFMANN, Wanda Aparecida Machado","ANDRETTA, Pedro Ivo Silveira",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"LANÇA, Tamie Aline  ","AMARAL, Roniberto Morato do","FREITAS, Marina Penteado",,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"ANDRADE, Tiago Fernandes ","AMARAL, Roniberto Morato do ",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"BRITO, Aline Grasiele Cardoso de","AMARAL, Roniberto Morato do","QUONIAM, Luc ",,,,,,,,,,,"Encontro Internacional de Dados, Tecnologia e Informação",2016
"AMARAL, Roniberto Morato do ","QUONIAM, Luc","LEIVA, Daniel Rodrigo","MILANEZ, Douglas Henrique","FIORONI, Joyce","FARIA, Leandro Innocentini Lopes de",,,,,,,,Congresso Brasileiro de Engenharia e Ciência dos Materiais,2016
"CASTRO, Fabiano Ferreira de","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encuentro de Catalogación y Metadatos,2010
"CASTRO, Fabiano Ferreira de ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encuentro de Catalogación y Metadatos,2010
"FORMENTON, Danilo","CASTRO, Fabiano Ferreira de","GRACIOSO, Luciana de Souza ","FURNIVAL, Ariadne Chloë Mary","SIMOES, Maria da Graça de Melo",,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"CASTRO, Fabiano Ferreira de de","SIMIONATO, Ana Carolina","ZAFALON, Zaira Regina",,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"RAMOS, Denise Marina","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Congresso Brasileiro de Educação Especial,2016
"HAYASHI, Maria Cristina Piumbato Innocentini ","RIGOLIN, Camila Carneiro Dias","ZAUITH, Gabriela","GOMES, Cintia","GUTIERREZ, Rafaela Francisconi","MARCELO, Júlia Fernandes","GUIMARÃES, Vera Aparecida Lui",,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2010
"PEREIRA, Maria Aparecida","FERREIRA JR, Amarílio","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2010
"RIGOLIN, Camila Carneiro Dias ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Seminário Nacional de História da Ciência e da Tecnologia e Congresso Latino-Americano de História da Ciência e da Tecnologia,2010
"BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Congresso Brasileiro de Educação Especial,2010
"BRAVO, Aline Droppé ","BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,Congresso Brasileiro de Educação Especial,2010
"PIZZANI, Luciana ","BELLO, Suzelei Faria","HAYASHI, Maria Cristina Piumbato Innocentini","MACHADO, Andréa Carla ",,,,,,,,,,Congresso Brasileiro de Educação Especial,2010
"LIMA, Maycke Young de ","JESUS, Tatiane Soares","SCAGLIONI, Leonardo Ferreira","HAYASHI, Maria Cristina Piumbato Innocentini","HAYASHI, Carlos Roberto Massao",,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2010
"BELLO, Suzelei Faria ","LIMA, Cândice da Silva","ALMEIDA, Maria Amélia de ","PIZZANI, Luciana ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,Jornada de Fonoaudiologia de Bauru,2010
"BELLO, Suzelei Faria  ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,ANPED-Sul,2010
"BELLO, Suzelei Faria ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Jornada de Fonoaudiologia de Bauru,2010
"SACARDO, Michele Silva","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,,,,Colóquio de Epistemologia da Educação Física,2010
"SORIANO, Érico ","HOFFMANN, Wanda Aparecida Machado","LONDE, Luciana de Resende","SANTOS, Leonardo Bacelar Lima","SOMOZA, Regla de La Caridad Duthit",,,,,,,,,Congresso da Sociedade de Análise de Risco Latino Americana,2016
"TEDESCHI, Samara Pereira  ","HOFFMANN, Wanda Aparecida Machado",,,,,,,,,,,,Simposio de Bambú y madera laminada,2010
"MOURA, Milene Rosa de Almeida ","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,,,Seminário em Ciência da Informação,2016
"MANCUSO, Maria Inês Rauter ","COSTA, Luzia Sigoli Fernandes ",,,,,,,,,,,,Congresso Brasileiro de Turismo Rural,2010
"COSTA, Luzia Sigoli Fernandes ","SCARPELINE, Rosaelena","NAKAGAWA, Elisa Yumi",,,,,,,,,,,CONGRESO INTERNACIONAL DE REHABILITACIÓN DEL PATRIMONIO ARQUITECTÓNIO Y EDIFICACIÓN,
"COSTA, Luzia Sigoli Fernandes","SCARPELINE, Rosaelena","NAKAGAWA, Elisa Yumi",,,,,,,,,,,SEMINÁRIO DE PATRIMÔNIO AGROINDUSTRIAL: Lugares de memória,2010
"OLIVEIRA, Walison Aparecido de","SOUSA, Raquel Juliana Prado Leite de","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"LIMA, Luís Fernando Maia ","MAROLDI, Alexandre Masson","SILVA, Dávilla Vieira Odízio da","HAYASHI, Carlos Roberto Massao","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,,,,Encontro Brasileiro de Bibliometria e Cientometria,2016
"FURLANETTO, Dirceu Marcos Dolce ","HAYASHI, Carlos Roberto Massao",,,,,,,,,,,,Simpósio Internacional de Tecnologias Sociais,2010
"SANTAREM SEGUNDO, José Eduardo","SIMIONATO, Ana Carolina",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"SOUSA, Victória Elisa Barbara de ","SIMIONATO, Ana Carolina",,,,,,,,,,,,Seminário de Pesquisa em Ciencias Humanas,2016
"TAUIL, Júlio César Silveira ","SIMIONATO, Ana Carolina",,,,,,,,,,,,Seminário de Pesquisa em Ciencias Humanas,2016
"SANTOS, Plácida Leopoldina Ventura Amorim da Costa","ARAKAKI, Felipe Augusto","GONÇALEZ, Paula Regina Ventura Amorim","CONEGLIAN, Caio Saraiva","SIMIONATO, Ana Carolina","ROMANETTO, Luiza Menezes","LIMA,  Fabio Rogério Batista","RODRIGUES, Fernando de Assis",,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2016
"BENDER, Layra Andressa Paulino ","SIMIONATO, Ana Carolina",,,,,,,,,,,,Seminário de Pesquisa em Ciencias Humanas,2016
"SIMIONATO, Ana Carolina ",,,,,,,,,,,,,Encontro Regional de Estudantes de Biblioteconomia e Documentação,2010
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2010
"ASSUMPCAO, Helena Campos ","ZAFALON, Zaira Regina",,,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
"ASSUMPCAO, Helena Campos  ","ZAFALON, Zaira Regina",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"CASTRO, Fabiano Ferreira de ","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação (Enancib),2012
"CASTRO, Fabiano Ferreira de",,,,,,,,,,,,,Encuentro Ibérico EDICIC ,2013
"DAL' EVEDOVE, Paula Regina","ALMEIDA, Carlos Cândido de","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Encuentro Ibérico EDICIC ,2013
"DAL' EVEDOVE, Paula Regina","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
"DAL' EVEDOVE, Paula Regina ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,,Congreso ISKO España y Portugal,2015
"DAL' EVEDOVE, Paula Regina ","TARTAROTTI, Roberta Cristina Dal' Evedove ","FUJITA, Mariângela Spotti Lopes","BOCCATO, Vera Regina Casari",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2013
"DAL' EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal' Evedove ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
"DAL' EVEDOVE, Paula Regina","TARTAROTTI, Roberta Cristina Dal' Evedove ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GRACIOSO, Luciana de Souza","BERNARDINO, Mayara Cristina","SIMOES, Maria da Graça Melo","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"GRACIOSO, Luciana de Souza","SILVA, Marco Donizete Paulino da",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2012
"GRACIOSO, Luciana de Souza","BERNARDINO, Mayara Cristina","SIMOES, Maria da Graça Melo","COSTA, Luzia Sigoli Fernandes",,,,,,,,,,Congreso ISKO España y Portugal,2015
"GRACIOSO, Luciana de Souza",,,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"SANTOS, Rodrigo Eduardo","ZAFALON, Zaira Regina",,,,,,,,,,,,Congreso ISKO España y Portugal,2015
"SANTOS, Rodrigo Eduardo","ZAFALON, Zaira Regina",,,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
"SIMIONATO, Ana Carolina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,,Congreso ISKO España y Portugal,2013
"SIMIONATO, Ana Carolina",,,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"TARTAROTTI, Roberta Cristina Dal' Evedove","DAL' EVEDOVE, Paula Regina ","FUJITA, Mariângela Spotti Lopes",,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ZAFALON, Zaira Regina ","SOARES, José Elias","RAMALHO, Rogério Aparecido Sá",,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
"ZAFALON, Zaira Regina","NESPOLI, Marcela Cristina",,,,,,,,,,,,ISKO - Information Society for Knowledge Organization,2015
"ZAFALON, Zaira Regina","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SILVA, Jairo da",,,,,,,,,,,Encuentro Ibérico EDICIC ,2015
