Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Evento,Ano
"MARSULO, Thabyta Giraldelli","CARVALHO, Ângela Maria Grossi de","CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,Encontro de Pesquisa em Informação e Mediação,2015
"LIMA, Fábio Rogério Batista","SANTAREM SEGUNDO, José Eduardo","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2014
"LANZI, Lucirene Andréa Catini","VIDOTTI, Silvana Aparecida Borsetti Gregorio","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2014
"GARCIA, Leonardo Guimarães",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"GARCIA, Leonardo Guimarães","SOARES, Gabriel Valente","AGUILAR, Angela Maria Lucato","LIBARDI, Leopoldina Mira Soares de Oliveira","ZOCCO, Lívia Porto","RAMOS, Maria Aparecida da Silva","RAMOS, Maria Aparecida da Silva","MORAES, Paula de Oliveira Almeida","GIONGO, Teresa Cristina","RODRIGUES, Vanessa","FERREIRA, Maria Cristina Manduca",,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"GARCIA, Leonardo Guimarães","PINHEIRO, Cintia Braga Ferreira",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2014
"GARCIA, Dantielli Assumpção","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Encontro de Estudos da Linguagem  (ENELIN),2014
"FERREIRA, Valéria Alves","SILVA, Márcia Regina da",,,,,,,,,,,,Encontro Internacional de Catalogadores e Encontro Nacional de Catalogadores,2013
"FERREIRA, Sueli Mara Soares Pinto","WEBER, Claudiane",,,,,,,,,,,,Conferência Luso-Brasileira sobre Acesso Aberto (Confoa),2015
"FERREIRA, Sueli Mara Soares Pinto","GARCIA-FEBO, Loida",,,,,,,,,,,,IFLA WLIC,2015
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"FERRAREZI, Ludmila","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Seminário de Estudos em Análise do Discurso,2011
"FERNANDES, Iandra Marcela Honorato","SILVA, Márcia Regina da",,,,,,,,,,,,Seminário Nacional de Bibliotecas Universitárias (SNBU),2014
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Encontro virtual de Documentação em Software Livre e Congresso Internacional de Linguagem e Tecnologia online,2013
"FARIA, Daiana de Oliveira","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Encontro virtual de Documentação em Software Livre e Congresso Internacional de Linguagem e Tecnologia online,2012
"DIAS, Allan Rodrigo","SANTANA, Anderson de","CONCEIÇÃO, Carlos Augusto","ROSA, Celia Regina de Oliveira","SAITO, Érica","VIEIRA, Jamil Abuyagui","LAET, Maria Aparecida","TOMISAWA, Patricia Naomi","NOVAES, Sergio Carlos","FERREIRA, Sueli Mara Soares Pinto","PAIVA, Virginia de","CESQUIM, Tiago Luis","MORAES, Thais Cristiane Campos de",Seminário Nacional de Bibliotecas Universitárias (SNBU),2012
"DAMIAN, Ieda Pelogia Martins","SILVA, Márcia Regina da",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"DAMIAN, Ieda Pelogia Martins","SILVA, Márcia Regina da",,,,,,,,,,,,Encuentros Internacionales sobre Sistemas de Información y Documentación (IBERSID),2014
"DAMIAN, Ieda Pelogia Martins","SANTAREM SEGUNDO, José Eduardo","MERLO, Edgard Monforte",,,,,,,,,,,International Conference on Current Research Information Systems,2014
"DAMIAN, Ieda Pelogia Martins","ALMEIDA, Marco Antônio de","RODRIGUES, Paloma Barbosa","MELLO, Tayná Abad Vieira de",,,,,,,,,,Encuentros Internacionales sobre Sistemas de Información y Documentación (IBERSID),2015
"DAMIAN, Ieda Pelogia Martins","ALMEIDA, Marco Antônio de","MÉNDEZ, Héctor René Mena",,,,,,,,,,,Encontro Ibérico EDICIC,2015
"CRIPPA, Giulia",,,,,,,,,,,,,Colóquio Internacional da rede MUSSI,2014
"CRIPPA, Giulia",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"CRIPPA, Giulia",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2012
"CONEGLIAN, Caio Saraiva","FUSCO, Elvis","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,Simpósio Brasileiro de Informática na Educação,2014
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,,,Fórum de Pesquisa em Biblioteca Escolar,2012
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,,,"Seminário Hispano-Brasileiro de Pesquisa em Informação, Documentação e Sociedade e Seminário de Competência em Informação",2015
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,,,Congresso Luso Afro Brasileiro,2015
"CASTRO FILHO, Cláudio Marcondes de","TREVISOLI, Juliano",,,,,,,,,,,,Fórum sobre Bibliotecas Públicas: serviços de informação e mediação da leitura,2011
"CASTRO FILHO, Cláudio Marcondes de","SILVA, Márcia Regina da","SANTAREM SEGUNDO, José Eduardo","CHAVES, Beatriz Santos",,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"CASTRO FILHO, Cláudio Marcondes de","ROMÃO, Lucília Maria Sousa",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"CASTRO FILHO, Cláudio Marcondes de","GONÇALVES, Ricardo Zacarias",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"CASTRO FILHO, Cláudio Marcondes de","FREITAS, Bruno César de",,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"CASTRO FILHO, Cláudio Marcondes de","COPPOLA JUNIOR, Claudinei",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2011
"CARVALHO, Mavi Galante Mancera Dall'Acgua  ","CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,,Congresso Ibero-Americano de Bibliotecas Escolares (CIBES),2015
"CARVALHO, Larissa Akabochi de","CRIPPA, Giulia",,,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2013
"BRAGA, Joana Soares B","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2011
"BISCALCHIN, Ana Carolina Silva","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2013
"ARAUJO, André Vieira de Freitas","CRIPPA, Giulia",,,,,,,,,,,,Colóquio Internacional da rede MUSSI,2014
"ARAUJO, André Vieira de Freitas","CRIPPA, Giulia","SALDANHA, Gustavo",,,,,,,,,,,"Congresso Brasileiro de Biblioteconomia, Documentação e Ciência da Informação (CBBD)",2015
"ALVES, Ueliton dos Santos","ALMEIDA, Marco Antônio de",,,,,,,,,,,,Encontro Ibérico EDICIC,2015
"ALMEIDA, Marco Antônio de",,,,,,,,,,,,,Encontro Ibérico EDICIC,2015
"ALMEIDA, Marco Antônio de",,,,,,,,,,,,,Colóquio Internacional da rede MUSSI,2012
"ALMEIDA, Marco Antônio de",,,,,,,,,,,,,Congreso Uruguayo de Sociología,2015
"ALMEIDA, Marco Antônio de",,,,,,,,,,,,,Encontro Ibérico EDICIC,2013
"ALMEIDA, Marco Antônio de","DAMIAN, Ieda Pelogia Martins",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2015
"SILVA, Rafaela Carolina da"," BOTELHO, Aline ","CASTRO FILHO, Cláudio Marcondes de",,,,,,,,,,,Seminário em Ciência da Informação,2016
"FERREIRA, Adam Felipe  ","CASTRO FILHO, Cláudio Marcondes de","SANTOS, Camila Araújo dos",,,,,,,,,,,Seminário em Ciência da Informação,2016
"CRIPPA, Giulia",,,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"CASTRO FILHO, Cláudio Marcondes de","ROSA, Carlos Adriano",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"SOUZA, Willian Eduardo Righini de ","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"NAKAMURA, Mariany Toriyama","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"SOUZA, Willian Eduardo Righini de","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"RODRIGUES, Bruno Cesar","CRIPPA, Giulia",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2010
"CRIPPA, Giulia",,,,,,,,,,,,,Seminário Serviços de Informação em Museus,2010
"SANTAREM SEGUNDO, José Eduardo ","SILVA, Márcia Regina da",,,,,,,,,,,,Encontro de Diretores e  Encontro de Docentes de Escolas de Biblioteconomia e Ciência da Informação do MERCOSUL,2016
"TADINI, Antonio Victor Wolf","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,,Seminário em Ciência da Informação,2016
"GONCALEZ, Paula Regina Ventura Amorim","CONEGLIAN, Caio Saraiva","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,Seminário em Ciência da Informação,2016
"FERREIRA, Ana Maria Jensen Ferreira da Costa","CONEGLIAN, Caio Saraiva","MARTINEZ, Sandra Milena Roa","VIDOTTI, Silvana Aparecida Borsetti Gregorio ","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,Seminário em Ciência da Informação,2016
"SANTAREM SEGUNDO, José Eduardo","CONEGLIAN, Caio Saraiva","FUSCO, Elvis",,,,,,,,,,,International Conference on Internet of Things and Big Data,2016
"VIDOTTI, Silvana Aparecida Borsetti Gregorio ","CONEGLIAN, Caio Saraiva","ROA-MARTINEZ, Sandra Milena","FERREIRA, Ana Maria Jensen Ferreira da Costa","RODAS, Cecílio Merlotti","SANTAREM SEGUNDO, José Eduardo",,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"CONEGLIAN, Caio Saraiva","FERREIRA, Ana Maria Jensen Ferreira da Costa","VIDOTTI, Silvana Aparecida Borsetti Gregorio ","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,"EDICIC - Encontro da associação dos educadores e pesquisadores de Biblioteconomia, Arquivologia, Ciência da Informação e Documentação da Iberoamérica e Caribe",2016
"SANTAREM SEGUNDO, José Eduardo","SIMIONATO, Ana Carolina",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"CONEGLIAN, Caio Saraiva","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,,,Encontro Nacional de Pesquisa em Ciência da Informação,2016
"FERREIRA, Ana Maria Jensen Ferreira da Costa","CONEGLIAN, Caio Saraiva","ROA-MARTINEZ, Sandra Milena","VIDOTTI, Silvana Aparecida Borsetti Gregorio ",,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
"CONEGLIAN, Caio Saraiva ","ALVES, Rachel Cristina Vesu","SANTOS, Plácida Leopoldina Ventura Amorim da Costa","SANTAREM SEGUNDO, José Eduardo",,,,,,,,,,Encontro Internacional Dados Tecnologia e Informação,2016
