idPeriodico,nome,avaliacao,webqualis,classificacao
205,Revista dos Tribunais (São Paulo. Impresso),Interdisciplinar,B5,Nacional
26,Revista IniciAÇÃO em Pesquisa,Planejamento urbano,B5,Nacional
3,Revista Janus (Lorena),Planejamento urbano,B5,Nacional
393,Revista Museu,Comunicação e Informação,B5,Nacional
189,Revista Sensos-e,Comunicação e Informação,B5,Nacional
85,Revista Tecnologia e Sociedade (Online),Comunicação e Informação,B5,Nacional
322,Stylus (Belo Horizonte),Interdisciplinar,B5,Nacional
256,UNOPAR Científica. Ciências Jurídicas e Empresariais,Engenharia III,B5,Nacional
57,Versão Beta (UFSCar),Interdisciplinar,B5,Nacional
339,Via Litterae,Comunicação e Informação,B5,Nacional
392,Virus,Comunicação e Informação,B5,Nacional
31,REBECIN,Comunicação e Informação,B5,Nacional
349,Rebecin,Comunicação e Informação,B5,Nacional
132,Informação & Tecnologia,Comunicação e Informação,B5,Nacional
212,INTERSIENTia,Comunicação e Informação,B5,Nacional
358,African Journal of Business Management,Comunicação e Informação,C,Internacional
262,American International Journal of Contemporary Research (Print),Comunicação e Informação,C,Internacional
190,European Journal of Academic Research,Comunicação e Informação,C,Internacional
252,International Journal of Applied Information Systems,Comunicação e Informação,C,Internacional
174,International Journal of Library and Information Science,Comunicação e Informação,C,Internacional
180,Journal of Scientometric Research,Comunicação e Informação,C,Internacional
7,Lusorama,Comunicação e Informação,C,Internacional
310,Procedia Manufacturing,Ciência da computação,C,Internacional
211,Technology and Investment,Comunicação e Informação,C,Internacional
274,Vozes dos Vales,Comunicação e Informação,C,Internacional
2,Âmbito Jurídico,Ensino,C,Nacional
203,Archeidon Online,Comunicação e Informação,C,Nacional
250,"Bibliotecas Universitárias: pesquisas, experiências e perspectivas",História,C,Nacional
363,Diálogos Pertinentes: Revista Científica de Letras,Interdisciplinar,C,Nacional
232,Interação (São Paulo),Direito,C,Nacional
320,Livro Zero: Revista de Psicanálise,Interdisciplinar,C,Nacional
117,MundoPM (Curitiba),Administração publica,C,Nacional
221,Primeiros Escritos,História,C,Nacional
179,Revista Ciência em Extensão,Comunicação e Informação,C,Nacional
24,Revista Comunicação & Educação,Biodiversidade,C,Nacional
192,Revista da Pesquisa & Pós-Graduação,Comunicação e Informação,C,Nacional
21,Revista de Carreiras & Pessoas,Interdisciplinar,C,Nacional
204,Revista de História (Rio de Janeiro),Comunicação e Informação,C,Nacional
236,Revista IMES,Direito,C,Nacional
