nome,avaliacao,webqualis,classificacao
Pesquisas em Discurso Pedagógico (Online),Ensino,B2,Nacional
Plos One,Comunicação e Informação,B1,Internacional
Plures Humanidades (Ribeirão Preto),Ensino,B4,Nacional
Polifonia,Interdisciplinar,B3,Nacional
Polímeros (São Carlos. Online),Interdisciplinar,B1,Nacional
Política & Sociedade (Impresso),Interdisciplinar,B2,Nacional
Políticas Clturais em Revista,Comunicação e Informação,B3,Nacional
Ponto de Acesso (UFBA),Comunicação e Informação,B1,Nacional
Ponto.Urbe (USP),Interdisciplinar,B2,Nacional
Práxis Educacional (Online),Ensino,B1,Nacional
Primeiros Escritos,História,C,Nacional
Principia (Florianópolis. Online),Ensino,B2,Nacional
Prisma.com,Comunicação e Informação,B5,Nacional
Problemata,Comunicação e Informação,B4,Nacional
Procedia Computer Science,Interdisciplinar,B5,Internacional
Procedia Manufacturing,Ciência da computação,C,Internacional
Procedia: Social and Behavioral Sciences,Comunicação e Informação,B4,Internacional
Proceedings of the Association for Information Science and Technology,Administração publica,A1,Internacional
Produção (São Paulo. On-Line),Interdisciplinar,B1,Nacional
Product (IGDP),Interdisciplinar,B4,Internacional
Production,Interdisciplinar,B1,Internacional
Produto & Produção (Impresso),Administração publica,B4,Nacional
Project Management Journal,Engenharia III,A2,Internacional
Psicologia Argumento (PUCPR. Impresso),Interdisciplinar,B2,Nacional
Psicologia em Revista (Impressa),Psicologia,B1,Nacional
Psicologia USP (Impresso),Interdisciplinar,A2,Nacional
Psicopedagogia (São Paulo),Interdisciplinar,B3,Nacional
Publications,Comunicação e Informação,B5,Internacional
Quaestio: Revista de Estudos de Educação,Comunicação e Informação,B3,Nacional
Qualit@s (UEPB),Interdisciplinar,B4,Nacional
RAI : Revista de Administração e Inovação,Ciência da computação,B2,Nacional
Raído (UFGD),História,B2,Nacional
Razón y Palabra,Comunicação e Informação,B1,Internacional
RBBD. Revista Brasileira de Biblioteconomia e Documentação (Online),Comunicação e Informação,B1,Nacional
RBPG. Revista Brasileira de Pós-Graduação,Comunicação e Informação,B3,Nacional
REA: Revista Eletrônica de Administração (Franca. Online),Interdisciplinar,B5,Nacional
REAd. Revista Eletrônica de Administração (Porto Alegre. Online),Interdisciplinar,B2,Nacional
"RECIIS. Revista Eletrônica de Comunicação, Informação & Inovação em Saúde",Comunicação e Informação,B1,Nacional
REDD - Revista Espaço de Diálogo e Desconexão,Interdisciplinar,B3,Nacional
Redes.com (Sevilla),Comunicação e Informação,B2,Internacional
Reenvap - Revista Eletrônica de Enfermagem do Vale do Paraíba,,,Nacional
REGE: Revista de Gestão USP,Interdisciplinar,B3,Nacional
REMark. Revista Brasileira de Marketing,Comunicação e Informação,B4,Nacional
Resgate (UNICAMP),Interdisciplinar,B3,Nacional
RESI : Revista Eletrônica de Sistemas de Informação,Comunicação e Informação,B4,Nacional
REVERTE - Revista de Estudos e Reflexões Tecnológicas da Faculdade de Tecnologia de Indaiatuba - FATEC-ID,Interdisciplinar,B5,Nacional
Revista ACB (Florianópolis),Comunicação e Informação,B2,Nacional
Revista Alpha,Comunicação e Informação,B5,Nacional
Revista Anagrama (USP),Comunicação e Informação,B5,Nacional
Revista Analisando em Ciência da Informação,Comunicação e Informação,B5,Nacional
Revista Biblioo,,,Nacional
"Revista Brasileira de Ciência, Tecnologia e Sociedade",Interdisciplinar,B4,Nacional
Revista Brasileira de Educação,Ensino,A1,Nacional
Revista Brasileira de Educação do Campo,Ensino,B1,Nacional
Revista Brasileira de Educação em Ciência da informação,Comunicação e Informação,B5,Nacional
Revista Brasileira de Educação Especial,Comunicação e Informação,B3,Nacional
Revista Brasileira de Gestão de Negócios (Online),Comunicação e Informação,A2,Nacional
Revista Brasileira de Gestão e Desenvolvimento Regional,Interdisciplinar,B1,Nacional
Revista Brasileira de História da Educação,Comunicação e Informação,B2,Nacional
Revista Brasileira de Informática na Educação,Interdisciplinar,B2,Nacional
Revista Brasileira de Pesquisa e Desenvolvimento,Engenharia III,B4,Nacional
Revista C3,Psicologia,B5,Nacional
Revista Ciência em Extensão,Comunicação e Informação,C,Nacional
Revista Ciências Administrativas (UNIFOR),Interdisciplinar,B4,Nacional
Revista Ciencias de la Documentación,Comunicação e Informação,B2,Internacional
Revista Ciências Sociais Unisinos,Comunicação e Informação,B4,Nacional
Revista Comunicação & Educação,Biodiversidade,C,Nacional
Revista Comunicação Midiática,Comunicação e Informação,B1,Nacional
Revista Conhecimento em Ação,Comunicação e Informação,B5,Nacional
Revista CRB-8 Digital,Comunicação e Informação,B5,Nacional
Revista da Associação Brasileira de Pesquisadores(as) Negros(as) (ABPN),Comunicação e Informação,B3,Nacional
Revista da Escola de Enfermagem da USP (Impresso),Interdisciplinar,B2,Nacional
Revista da FAEEBA,Interdisciplinar,B5,Nacional
Revista da Pesquisa & Pós-Graduação,Comunicação e Informação,C,Nacional
Revista das Faculdades Santa Cruz,,,Nacional
Revista de Administração (São Paulo. Online),Comunicação e Informação,B1,Nacional
Revista de administração da Unimep,Interdisciplinar,B2,Nacional
Revista de Administração Pública (Impresso),Comunicação e Informação,B1,Nacional
Revista de Carreiras & Pessoas,Interdisciplinar,C,Nacional
Revista de Ciências Humanas,Interdisciplinar,B2,Nacional
Revista de Cultura e Extensão,Comunicação e Informação,B5,Nacional
Revista de Direito Constitucional e Internacional,Interdisciplinar,B4,Nacional
Revista de Economia e Administração (Impresso),Interdisciplinar,B3,Nacional
Revista de educação cultura e comunicação - Fatea,,,Nacional
Revista de Gestão da Tecnologia e Sistemas de Informação (Online),Comunicação e Informação,B2,Nacional
Revista de Gestão e Projetos,Comunicação e Informação,B5,Nacional
Revista de História (Rio de Janeiro),Comunicação e Informação,C,Nacional
Revista de História Regional,Interdisciplinar,B3,Nacional
Revista de Nutrição,Comunicação e Informação,B4,Nacional
Revista Diálogo Educacional (PUCPR. Impresso),Interdisciplinar,B2,Nacional
Revista Digital de Biblioteconomia e Ciência da Informação,Comunicação e Informação,B1,Nacional
Revista do Centro de Pesquisa e Formação do SESC,,,Nacional
Revista do Edicc,Interdisciplinar,B5,Nacional
Revista do GEL,Letras e Linguística ,B2,Nacional
Revista dos Tribunais (São Paulo. Impresso),Interdisciplinar,B5,Nacional
Revista Eco-Pós (Online),Comunicação e Informação,B1,Nacional
Revista EDICIC,,,Internacional
Revista Educação Especial (Online),Ensino,A2,Nacional
Revista Educação Especial (UFSM),Ensino,A2,Nacional
Revista Educaonline,Ensino,B2,Nacional
"Revista Electrónica Iberoamericana Sobre Calidad, Eficacia y Cambio en Educación",Interdisciplinar,B2,Internacional
Revista Eletrônica de Educação (São Carlos),Ensino,A2,Nacional
Revista Eletrônica do Mestrado em Educação Ambiental,Comunicação e Informação,B4,Nacional
"Revista em Gestão, Inovação e Sustentabilidade",Interdisciplinar,B4,Nacional
Revista Errata,,,Nacional
Revista Española de Documentación Científica,Comunicação e Informação,A1,Internacional
Revista FAMECOS (Online),Comunicação e Informação,A2,Nacional
REVISTA GEMInIS,Comunicação e Informação,B2,Nacional
Revista General de Información y Documentación,Comunicação e Informação,A2,Internacional
Revista HISTEDBR On-line,Comunicação e Informação,B2,Nacional
Revista Ibero-Americana de Ciência da Informação,Comunicação e Informação,B1,Nacional
Revista Ibero-Americana de Estudos em Educação,Comunicação e Informação,B2,Nacional
Revista Iberoamericana de Ciencia Tecnología y Sociedad (En Línea),Interdisciplinar,B2,Internacional
Revista Iberoamericana de Discurso y Sociedad,,,Internacional
Revista IMES,Direito,C,Nacional
Revista IniciAÇÃO em Pesquisa,Planejamento urbano,B5,Nacional
Revista Inteligência Competitiva,Interdisciplinar,C,Nacional
Revista Interamericana de Bibliotecologia,Comunicação e Informação,A2,Internacional
Revista Janus (Lorena),Planejamento urbano,B5,Nacional
Revista Letras (UFSM),Interdisciplinar,C,Nacional
Revista Museu,Comunicação e Informação,B5,Nacional
Revista Observatório Itaú Cultural,Comunicação e Informação,C,Nacional
Revista Pedagógica,Interdisciplinar,B3,Nacional
Revista Primeiros Passos,,,Nacional
Revista Produção Online,Interdisciplinar,B3,Nacional
Revista Sensos-e,Comunicação e Informação,B5,Nacional
Revista Tecnologia e Sociedade (Online),Comunicação e Informação,B5,Nacional
Revista UniVap,Comunicação e Informação,C,Nacional
RevistaMaracanan,Comunicação e Informação,B3,Nacional
RevIU. Revista Informação & Universidade,,,Nacional
Ricerche di S/Confine,,,Internacional
Rua (UNICAMP),Comunicação e Informação,B3,Nacional
Rumores (USP),Comunicação e Informação,B1,Nacional
Saeculum (UFPB),Comunicação e Informação,B4,Nacional
Saúde e Sociedade (USP. Impresso),Comunicação e Informação,B4,Nacional
Scientometrics (Online),Comunicação e Informação,A1,Internacional
Scire (Zaragoza),Comunicação e Informação,B1,Internacional
Série Acadêmica (PUCAMP),Letras e Linguística ,C,Nacional
Série-Estudos (UCDB),Interdisciplinar,B3,Nacional
Serviço Social & Saúde (UNICAMP),Interdisciplinar,B4,Nacional
Signo (UNISC. Online),Interdisciplinar,B2,Nacional
Signotica (UFG),Interdisciplinar,B2,Nacional
Social Responsibility Journal,Administração publica,A2,Internacional
Stylus (Belo Horizonte),Interdisciplinar,B5,Nacional
Suplemento Signos EAD,,,Nacional
Technology and Investment,Comunicação e Informação,C,Internacional
Técnicouro (Novo Hamburgo),Interdisciplinar,B4,Nacional
Tecnologia Educacional,Ensino,B1,Nacional
Tecnologias de Administração e Contabilidade,Interdisciplinar,B3,Nacional
Temas sobre Desenvolvimento,Interdisciplinar,B3,Nacional
Tempo e Argumento,Interdisciplinar,B1,Nacional
Tempo Psicanalítico,Interdisciplinar,B2,Nacional
Tempo. Revista do Departamento de História da UFF,Ensino,A1,Nacional
Tendências da Pesquisa Brasileira em Ciência da Informação,Comunicação e Informação,B1,Nacional
Teoria & Pesquisa (on line),Comunicação e Informação,B3,Nacional
Texto Digital (UERJ),Letras e Linguística ,B2,Nacional
Texto Digital (UFSC),Comunicação e Informação,B3,Nacional
Texto Livre,Ensino,B4,Nacional
TEXTURA-ULBRA,Interdisciplinar,B3,Nacional
Todas as Letras (São Paulo),Letras e Linguística ,B2,Nacional
Todas as Musas: Revista de Literatura e das Múltiplas Linguagens da Arte (Online),Comunicação e Informação,C,Nacional
Transinformação,Comunicação e Informação,A1,Nacional
Trilha Digital,Comunicação e Informação,C,Nacional
Universitas Humanistica,Interdisciplinar,B1,Internacional
UNOPAR Científica. Ciências Jurídicas e Empresariais,Engenharia III,B5,Nacional
Verbo,Comunicação e Informação,C,Nacional
Versão Beta (UFSCar),Interdisciplinar,B5,Nacional
Verso e Reverso (UNISINOS. Online),Comunicação e Informação,B2,Nacional
Vértices (São Paulo),Interdisciplinar,B4,Nacional
Via Litterae,Comunicação e Informação,B5,Nacional
Virus,Comunicação e Informação,B5,Nacional
Vozes dos Vales,Comunicação e Informação,C,Internacional
ZIF,,,
