Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"HOFFMANN, Wanda Aparecida Machado",,,,,,,Oficina Universitária,2015
"LEITE, Ana Cláudia de Oliveira","FERRAZ, Maria Cristina Comunian",,,,,,EDUFSCar,2011
"LICHTI, Paulo Aneas","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2012
"LIMA, Mayara Fernanda Oliveira","ZAFALON, Zaira Regina",,,,,,Cultura Acadêmica,2014
"MARCELO, Julia Fernandes","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Pedro e João Editores,2013
"MARTINELLI, Marcos Alberto","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2013
"MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de","GREGOLIN, José Angelo Rodrigues","PERES, Lucas Salomão",,,,Pedro e João Editores,2013
"OLIVEIRA, Maria Fernanda de","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2013
"OLIVEIRA, Saulo Campos","FARIA, Leandro Innocentini Lopes de","COSTA, Elaine Hipólito dos Santos","DAGNINO, Renato Peixoto",,,,EDUFSCar,2011
"PEREIRA, Maria Aparecida ","HAYASHI, Maria Cristina Piumbato Innocentini","FERREIRA JR, Amarílio",,,,,Pedro e João Editores,2013
"PEREIRA, Maria Aparecida ","HAYASHI, Maria Cristina Piumbato Innocentini","FERREIRA JR, Amarílio",,,,,Pedro e João Editores,2013
"PERES, Lucas Salomão","SILVA, Tatiane Malvestio","MILANEZ, Douglas Henrique","FARIA, Leandro Innocentini Lopes de",,,,Pedro e João Editores,2013
"PIZZANI, Luciana ","HAYASHI, Maria Cristina Piumbato Innocentini","MARTINEZ, Claudia Maria Simões",,,,,Pedro e João Editores,2013
"RIGOLIN, Camila Carneiro Dias","HAYASHI, Maria Cristina Piumbato Innocentini","BARBOSA, Henrianne",,,,,Editora Alinea,2015
"RIGOLIN, Camila Carneiro Dias",,,,,,,Pedro e João Editores,2013
"RIGOLIN, Camila Carneiro Dias",,,,,,,EDUEPB,2011
"RIGOLIN, Camila Carneiro Dias",,,,,,,Editora Alinea,2014
"RIGOLIN, Camila Carneiro Dias",,,,,,,Universidade Federal do ABC,2013
"ROCHA, Ednéia Silva Santos","HAYASHI, Carlos Roberto Massao",,,,,,Pedro e João Editores,2013
"ROCHA, Micherlângela Barroso ","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2015
"SACARDO, Michele Silva","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Pedro e João Editores,2013
"SALDANHA, Gustavo Silva","GRACIOSO, Luciana de Souza",,,,,,UNAM,2014
"SANTOS NETO, Martins Fideles do","DAL' EVEDOVE, Paula Regina ",,,,,,Colegio de Traductores Públicos de la Ciudad de Buenos Aires,2012
"SANTOS, Cíntia Almeida da Silva ","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2014
"SANTOS, Elis Regina Alves dos","SOUSA, Cidoval Morais de","FERRAZ, Maria Cristina Comunian",,,,,EDUFSCar,2011
"SCHIAVI, Marcela Taiane","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2015
"SILVA, Antônio Carlos Lopes","FARIA, Leandro Innocentini Lopes de",,,,,,EDUFSCar,2011
"SILVA, Márcia Regina da ","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Editora Alinea,2011
"SILVA, Márcia Regina da","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,E-papers,2012
"SILVA, Rosemary Cristina da","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Pedro e João Editores,2013
"SOUSA, Cidoval Morais de","BERBEL, Danilo Brancalhão","ROTHBERG, Danilo","HAYASHI, Maria Cristina Piumbato Innocentini",,,,EDUEPB,2011
"SOUSA, Raquel Juliana Prado Leite de ","ZAFALON, Zaira Regina",,,,,,Cultura Acadêmica,2014
"SOUSA, Raquel Juliana Prado Leite de","HAYASHI, Carlos Roberto Massao",,,,,,Pedro e João Editores,2012
"SOUZA, Claudia Daniele de","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2015
"SPIANDORELLO, Fabíola de Moraes","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2015
"ZAFALON, Zaira Regina",,,,,,,Editora Alinea,2011
"YANAI, Angela Emi ","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2010
"OLIVEIRA, Claudia de Moraes Barros de ","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2010
"PERES, Lucas Salomao","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2010
"RAMOS, Renan Carvalho ","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2010
"PUERTA, Adriana Aparecida ","FARIA, Leandro Innocentini Lopes de",,,,,,Pedro e João Editores,2010
"ZAFALON, Zaira Regina","LOZANO, Marisa Cubas",,,,,,ECI/UFMG,2016
"GIGANTE, Luciara Cid ","FERRAZ, Maria Cristina Comunian","RIGOLIN, Camila Carneiro Dias",,,,,Pedro e João Editores,2010
"DURAN, Maria Raquel Cruz ","RIGOLIN, Camila Carneiro Dias",,,,,,Pedro e João Editores,2010
"GRACIOSO, Luciana de Souza",,,,,,,Junqueira e Marin,2016
"GRACIOSO, Luciana de Souza","ALVES, Ariovaldo","FERREIRA, Carlos Eduardo Barbosa","NASCIMENTO, Débora","ANGELON, Elisabete Maria","SANTOS, Suelen Silvatti dos","CASTRO, Tainara Kiri de",Junqueira e Marin,2016
"SEVERO, Cristine Gorski  ","SOUZA, Ligia Maria Silva e","GRACIOSO, Luciana de Souza","COSTA, Luzia Sigoli Fernandes","CURILLA, Rosemeire Aparecida Trebi",,,Compacta Gráfica e Editora,2016
"SILVEIRA, Letícia Reis da ","GRACIOSO, Luciana de Souza","SIMOES, Maria da Graça Melo",,,,,Rowman & Littlefield Publishers,2016
"GUIMARÃES, Vera Aparecida Lui","HAYASHI, Maria Cristina Piumbato Innocentini",,,,,,Pedro e João Editores,2010
"RIBEIRO, José Augusto Pereira","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2010
"TEDESCHI, Samara Pereira","HOFFMANN, Wanda Aparecida Machado",,,,,,Pedro e João Editores,2010
"STANGE, Simone Morae","HOFFMANN, Wanda Aparecida Machado","MIOTELLO, Valdemir","PEDRO, Wilson José Alves","HAYASHI, Carlos Roberto Massao",,,Pedro e João Editores,2016
