Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"MARIOSA, Duarcides Ferreira ","SANTOS-SILVA, Edinaldo Nelsondos","GASPARINI, Leandro","REIS JR., Alfredo Morel dos",,,,,,Rizoma Editorial,2011
"MARIOSA, Duarcides Ferreira",,,,,,,,,ANNABLUME,2012
"MEIRELLES, Juliana Gesuelli",,,,,,,,,Universidade Federal do ABC,2014
"MARTINS, Valeria Dos Santos Gouveia ","Sousa, Danielle S. de","PUPO,  Deise T.","EGIDIO,  Elaine A.","PEREIRA, Isabella N.","ROCHA, Lucimeire O. S.","MARTINS, Matheus M."," MONTICELLI, Nelma A. M.","TOSCARO, Alexandra A. Marcelino",UNICAMP/PRDU,2012
"FIDELIS, Ana Cláudia e Silva","TONIN, Fabiana Bigaton",,,,,,,,Paco Editorial,2016
"MARIOSA, Duarcides Ferreira",,,,,,,,,Global Editora e Distribuidora Ltda,2010
"MEIRELLES, Juliana Gesuelli",,,,,,,,,Prismas,2016
"MEIRELLES, Juliana Gesuelli ",,,,,,,,,Alameda Casa Editorial,2016
