Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"SILVA, José Fernando Modesto da",,,,,,,,,,ECA/USP,2016
"OLIVEIRA, Lúcia Maciel Barbosa de","SILVA, José Fernando Modesto da","PALETTA, Francisco Carlos","PIERUCCINI, Ivete",,,,,,,ECA/USP,2016
"OLIVEIRA, Lúcia Maciel Barbosa de ",,,,,,,,,,São Mateus em Movimento,2016
"OLIVEIRA, Lúcia Maciel Barbosa de",,,,,,,,,,Barbatana,2016
"OLIVEIRA, Lúcia Maciel Barbosa de","SOARES, Gabriela Pellegrin",,,,,,,,,Editora PD,2010
"MUCHERONI, Marcos Luiz",,,,,,,,,,Cultor de Livros,2016
"LARA, Marilda Lopes Ginez de","SMIT, Johanna Wilhelmina",,,,,,,,,ECA/USP,2010
"LARA, Marilda Lopes Ginez de",,,,,,,,,,FFLCH/USP,2010
"LARA, Marilda Lopes Ginez de",,,,,,,,,,Editora da UFF,2010
"FRANCELIN, Marivalde Moacir",,,,,,,,,,ECA/USP,2016
"FRANCELIN, Marivalde Moacir",,,,,,,,,,ECA/USP,2016
"RODRIGUES, Rosângela Schwarz","MUGNAINI, Rogério",,,,,,,,,CRV,2016
"LIMA, Vânia Mara Alves",,,,,,,,,,ECA/USP,2016
