Autor,Autor,Autor,Autor,Autor,Autor,Autor,Editora,Ano
"DIAS, Sandra Mônica de Freitas","ROMÃO, Lucília Maria Sousa",,,,,,Alphabeto,2011
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,Saint Paul Editora Ltda,2012
"DAMIAN, Ieda Pelogia Martins","MERLO, Edgard Monforte",,,,,,LTC,2011
"CRIPPA, Giulia",,,,,,,Alínea Editora,2012
"CRIPPA, Giulia",,,,,,,E-papers,2012
"CRIPPA, Giulia",,,,,,,Eduel,2012
"CRIPPA, Giulia",,,,,,,Alínea Editora,2011
"CRIPPA, Giulia",,,,,,,ADAFA,2013
"CRIPPA, Giulia",,,,,,,Cultura Acadêmica,2014
"CRIPPA, Giulia",,,,,,,Todas as musas,2013
"CHICOTE,  Maria Luísa Lopes  ","ROMÃO, Lucília Maria Sousa","MELO-SILVA, Lucy Leal",,,,,SBOP,2015
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,E-papers,2012
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,Editora UnB,2015
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,Editora da UFPB,2015
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,Pedro e João Editores,2011
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,Alínea Editora,2012
"CASTRO FILHO, Cláudio Marcondes de","VERGUEIRO, Waldomiro de Castro Santos","SILVA, Márcia Regina da",,,,,Sociologia e Política,2011
"CASTRO FILHO, Cláudio Marcondes de","ROMÃO, Lucília Maria Sousa",,,,,,Alínea Editora,2011
"CASTRO FILHO, Cláudio Marcondes de","PACAGNELLA, Juliana Nascimento",,,,,,Alphabeto,2011
"CASTRO FILHO, Cláudio Marcondes de","FARIA, Ana Carolina Cintra","SANTOS, Daniela de Souza dos",,,,,Todas as musas,2013
"CASTRO FILHO, Cláudio Marcondes de","CAMPOS, Larissa Bernardes",,,,,,Todas as musas,2014
"CARVALHO, Mavi Galante Mancera Dall'Acqua","ROMÃO, Lucília Maria Sousa","GALLI, Fernanda Correa Silveira",,,,,Todas as musas,2013
"BASTOS, Gustavo Grandini","ROMÃO, Lucília Maria Sousa",,,,,,Pedro e João Editores,2012
"BALDINI, Lauro José Siqueira","ROMÃO, Lucília Maria Sousa",,,,,,EDUFSCar,2014
"BALDINI, Lauro José Siqueira","ROMÃO, Lucília Maria Sousa",,,,,,EDUFSCar,2014
"ASSUMPÇÃO, Fabrício Silva","SANTAREM SEGUNDO, José Eduardo","SANTOS, Plácida Leopoldina Ventura Amorim da Costa",,,,,Springer International Publishing,2015
"ALMEIDA, Marco Antônio de",,,,,,,Edições UFC,2012
"ALMEIDA, Marco Antônio de",,,,,,,Editora da UFPB,2014
"ALMEIDA, Marco Antônio de",,,,,,,Alínea Editora,2012
"ALMEIDA, Marco Antônio de",,,,,,,E-papers,2012
"ALMEIDA, Marco Antônio de",,,,,,,Todas as musas,2013
"SABBAG, Deise Maria Antônio","CASTRO FILHO, Cláudio Marcondes de",,,,,,FEBAB,2016
"CASTRO FILHO, Cláudio Marcondes de",,,,,,,Edufba,
"CRIPPA, Giulia",,,,,,,EDUEM,2016
"CRIPPA, Giulia",,,,,,,Compacta,2010
"CRIPPA, Giulia",,,,,,,Compacta,2010
"GARCIA, Leonardo Guimarães",,,,,,,Akademika,2010
"BASTOS, Gustavo Grandini","PACÍFICO, Soraya Maria Romano","ROMÃO, Lucília Maria Sousa",,,,,Pontes,2016
"ROMÃO, Lucília Maria Sousa ",,,,,,,Pedro e João Editores,2016
"PATTI, Ane Ribeiro","ROMÃO, Lucília Maria Sousa",,,,,,Editora Contexto,2010
"PATTI, Ane Ribeiro","ROMÃO, Lucília Maria Sousa",,,,,,Alphabeto,2010
"GIORGENON, Daniela","ROMÃO, Lucília Maria Sousa",,,,,,Alphabeto,2010
"YADO, Thaís Harumi Manfré ","ROMÃO, Lucília Maria Sousa",,,,,,Pedro e João Editores,2010
"ALMEIDA, Marco Antônio de",,,,,,,Sulina,2016
"ALMEIDA, Marco Antônio de",,,,,,,Verbis,2010
"ALMEIDA, Marco Antônio de",,,,,,,Cultura Acadêmica,2010
"ALMEIDA, Marco Antônio de",,,,,,,Editora Compacta,2010
"MOSTAFA, Solange Puntel",,,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel",,,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,Alínea Editora,2010
"MOSTAFA, Solange Puntel",,,,,,,Alínea Editora,2010
"MONTEIRO, Maria Cristina ","MOSTAFA, Solange Puntel",,,,,,Cortez,2010
"MONTEIRO, Maria Cristina ","MOSTAFA, Solange Puntel",,,,,,Cortez,2010
"MOSTAFA, Solange Puntel","CRUZ, Denise Viuniski da Nova",,,,,,Alínea Editora,2010
"FERREIRA, Sueli Mara Soares Pinto","MARCHIORI, Patrícia Zeni","CRISTOFOLI, Fulvio",,,,,Senac,2010
"WEITZEL, Simone da Rocha","FERREIRA, Sueli Mara Soares Pinto",,,,,,Senac,2010
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,Alfagrama,2010
"FERREIRA, Sueli Mara Soares Pinto",,,,,,,ABCiber; Instituto Itaú Cultural,2010
"FERREIRA, Sueli Mara Soares Pinto","TARGINO,Maria das Graças",,,,,,Senac,2010
