Autor,Autor,Autor,Autor,Editora,Ano
"VENTURA, Carolina Siqueira Muniz ","FARIAS, Angelica Miyuki",,,Pontes Editores,2015
"PALHARES, Maria Cristina Palhares  ",,,,CCE/UFSC,2012
"MOURA, Amanda Pacini de ","FRANCELIN, Marivalde Moacir",,,PPGCI - ECA/USP,2015
"CARVALHO, Marcelo Dias de ",,,,USP-PRCEU; TUSP; LIM CAC,2015
"MOURA, Amanda Pacini de",,,,Academia,2016
"DAMIANOVIC, Maria Cristina","SILVA, Shirley Adriana de Sousa","CARRIJO, Viviane Letícia Silva","FARIAS, Angélica Miyuki ",Pontes Editores,2016
